"","","Diameter","Length","Length, to branch","Length, to end"
"1","All",0.534520228228251,0.583876428194828,0.298000158345221,0.653790177051217
"2","Memorial Oak",0.339004817537689,0.738319437336359,0.237015943974649,0.607304728766463
"3","Elm",0.978495303211546,0.446555616682254,0.227167489016702,0.125386273780088
"4","Walnut",0.00780396871110868,0.497082619042401,0.126622320958264,0.741777907673576
