"","","Diameter","Length","Length, to branch","Length, to end"
"1","All",0.00568735983487157,0.679578102846595,0.204206569049403,0.667321686400221
"2","Memorial Oak",0.00415068257895621,0.866384848084207,0.0564167044070097,0.449459152023706
"3","Elm",0.0129394134195786,0.0253232232575378,0.395272749315272,0.0110414190463912
"4","Walnut",0.0750209331063944,0.922682762683592,0.561355734586273,0.425346355535912
