ELM BRANCH 19,,,,,,,,,
,,,,,,,,,
,main,,,,,branch,,,
node,to node,diameter,,length,,to node,diameter,,length
19,NA,10.4,,NA,,19.1,6.3,,NA
19-2,19-4,3.3,,30.2,,end,3.21,,203.4
19-4,19-5,2.91,,75.2,,end,1.87,,145.6
