MEMORIAL OAK BRANCH 10,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
10,NA,NA,,NA,,10.1,NA,,NA,
10.1.10,end,NA,,NA,,end,NA,,NA,
10.1.2,10.1.3,15.1,,56.8,,end,5.4,,142,
10.1.3,10.1.4,10.7,,83,,10.1.3.2,7.6,,60.4,
10.1.3.1,10.1.3.2,7.2,,49.6,,end,4.38,,7.8,b
10.1.3.1.2,end,NA,,NA,,end,NA,,NA,
10.1.3.2,end,5.2,,55.2,,end,5.5,,109.4,
10.1.4,10.1.8,7.3,,152.8,,10.1.4.2,7.6,,NA,
10.1.4.2,end,NA,,NA,,end,NA,,NA,
10.1.5,10.1.7,6.8,,47.4,,end,0.57,,11.4,
10.1.7,10.1.8,5.5,,32.4,,end,2.03,,18.8,
10.1.9,end,NA,,NA,,end,NA,,NA,
10.2,10.3,28.1,,118.2,,10.2.1,12.4,,NA,
10.2.1,10.2.3,NA,,NA,,end,NA,,NA,
10.2.2,10.2.3,NA,,NA,,end,NA,,NA,
10.2.3.1,end,NA,,NA,,end,NA,,NA,
10.2.4,10.5,NA,,NA,,end,NA,,NA,
10.2.5,10.2.6,NA,,NA,,end,NA,,NA,
10.3,10.4,NA,,NA,,10.3.1,18.5,,NA,
10.3.1,10.3.2,NA,,NA,,end,NA,,NA,
10.3.3,10.3.4,13.1,,141,,10.3.3.2,12.8,,90.8,
10.3.3.2,10.3.3.3,8.6,,57.4,,10.3.3.2.1,10,,81.2,
10.3.3.2.*5,10.3.3.2.1,10.1,,45.6,,end,5.6,,4.6,
10.3.3.2.1,10.3.3.2.2,8.8,,80.2,,end,3.21,,109.5,
10.3.3.2.2.3,10.3.3.2.2.4,NA,,NA,,end,NA,,NA,
10.3.3.2*5,10.3.3.3,NA,,NA,,end,NA,,NA,
10.3.3.3,end,NA,,NA,,end,NA,,NA,
10.3.4,10.3.5,10.1,,81.6,,10.3.4.1,8.7,,118.8,
10.3.4.1,end,7.2,,74,,end,4.41,,85.2,
10.3.5,end,9,,146.4,,end,3.5,,27.4,b
10.4,10.5,17,,188.4,,10.4.1,17,,71.4,
10.4.*1,10.5,NA,,NA,,end,NA,,NA,
10.4.1,10.4.2,15.2,,122.8,,end,11.6,,56,
10.4.3,end,10.7,,200.4,,end,10.3,,239.8,b
10.4*5,10.5,14.1,,34.6,,end,5.7,,NA,
10.5,10.6,12.3,,54.8,,end,9.4,,73.6,
10.6.*5,end,8.7,,184.8,,end,3.01,,3.2,b
10.6.3,end,7.6,,56.8,,end,2.38,,14.4,
