ELM BRANCH 10,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
10,NA,25,,NA,,10.2,14.2,,NA,
10.2,10.3,13.6,,35.6,,end,6.6,,206.6,
10.3,10.5,9.9,,65,,end,6.4,,252.2,b
10.5,end,8.7,,322.2,,end,3.5,,168.2,b
10.1,10.3,11.4,,36.2,,end,1.93,,26.4,b
10.6,10.8,7.7,,80.4,,10.6.1,5.2,,20.4,
10.2.1,10.2.2,4,,32,,end,2.76,,67.2,b
10.2.2,end,3.1,,53.4,b,end,2.42,,85.4,
10.3.1,10.3.3,7.5,,8.8,,end,3.5,,231,
10.3.2.1,end,NA,,NA,,end,NA,,NA,
10.3.3,10.3.4,4.6,,66.6,,end,3.5,,174.8,
10.3.5,10.3.6,4.3,,52.8,,end,2.22,,117.2,
10.3.6.1,end,1.89,,69.2,b,end,0.91,,11,
10.8.2,end,3.9,,187.2,,end,3.1,,184.8,
10.9.1,end,2.07,,134.8,,end,2.42,,157.2,
