ELM BRANCH 17,,,,,,,,,
,,,,,,,,,
,main,,,,,branch,,,
node,to node,diameter,,length,,to node,diameter,,length
17-3-1,end,2.06,,NA,,end,2.34,,148.7
17-4,end,3,,187.8,,end,2.3,,115.6
17-5,17-6,NA,,NA,,end,NA,,NA
