nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
5.16.5,172112,0.013085285,end,end,3.67,7.75,2.69,6.66,NA,NA,NA,NA
5.18.*5,172112,0.255383594,5.18.1,end,5.51,41.9,3.83,15.7,NA,NA,NA,NA
5.19.1,172112,0.299710262,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.2*5,172112,0.320520578,5.11.3,end,14.8,49.1,7.02,9.57,NA,NA,NA,NA
5.10.1.2,172112,0.354446659,end,end,7.52,10.8,4.8,4.93,NA,NA,NA,NA
5.15.5.2,172112,0.390016761,,,NA,NA,NA,NA,NA,NA,NA,NA
5.16.1,172112,0.536788186,,,NA,NA,NA,NA,NA,NA,NA,NA
5.17*5,172112,0.754328287,,,NA,NA,NA,NA,NA,NA,NA,NA
5.17.*5,172112,0.757197794,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.12,172112,0.782710474,,,NA,NA,NA,NA,NA,NA,NA,NA
5.8.1,172112,0.820480991,,,NA,NA,NA,NA,NA,NA,NA,NA
5.19.2,172112,0.845823289,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.10*55,172112,0.983479229,,,NA,NA,NA,NA,NA,NA,NA,NA
5.15.5.1.1,172112,0.987309391,,,NA,NA,NA,NA,NA,NA,NA,NA
5.10.2,181019,0.082748227,5.10.3,end,NA,NA,NA,NA,7.42,35.4,4.17,4.45
5.10.5,181019,0.085450191,end,end,NA,NA,NA,NA,3.18,18.1,3.58,25.6
5.11.5.5,181019,0.174466149,5.11.5.6,end,NA,NA,NA,NA,6.42,16.3,2.18,10.5
5.17.7,181019,0.055829924,end,5.17.7.1,NA,NA,NA,NA,5.75,101,4.73,45.5
5.7.4,181019,0.080260044,5.7.5,end,NA,NA,NA,NA,11.7,14.4,5.34,11.6
5.7.5.2,181019,0.138282063,5.7.5.3,end,NA,NA,NA,NA,5.1,18.2,2.96,24.7
5.7.5.3,181019,0.17764935,5.7.5.4,end,NA,NA,NA,NA,2.85,20,3.18,3.36
5.7.8,181019,0.087730557,5.7.9,end,NA,NA,NA,NA,3.27,9.29,2.22,4.68
5.7.9.1,181019,0.182016528,,,NA,NA,NA,NA,NA,NA,NA,NA
5.7.6,181019,0.18812145,,,NA,NA,NA,NA,NA,NA,NA,NA
5.7.3,181019,0.233504646,,,NA,NA,NA,NA,NA,NA,NA,NA
5.7.10,181019,0.235381969,,,NA,NA,NA,NA,NA,NA,NA,NA
5.7.5.1,181019,0.307031692,,,NA,NA,NA,NA,NA,NA,NA,NA
5.17.7.1,181019,0.336631678,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.4.2,181019,0.358623939,,,NA,NA,NA,NA,NA,NA,NA,NA
5.5,181019,0.493294639,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.5.6,181019,0.654809106,,,NA,NA,NA,NA,NA,NA,NA,NA
5.3,181019,0.656743117,,,NA,NA,NA,NA,NA,NA,NA,NA
5.7.9,181019,0.722573863,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.3.1.4,181019,0.781162358,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.5.4.1,181019,0.816578093,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.5.1,181019,0.823393611,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.5.2,181019,0.828257783,,,NA,NA,NA,NA,NA,NA,NA,NA
5.7.5.4,181019,0.838130966,,,NA,NA,NA,NA,NA,NA,NA,NA
5.6.1,181019,0.84614333,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.4.3,181019,0.86852063,,,NA,NA,NA,NA,NA,NA,NA,NA
5.17.6,181019,0.895343646,,,NA,NA,NA,NA,NA,NA,NA,NA
5.10.3,181019,0.9161079,,,NA,NA,NA,NA,NA,NA,NA,NA
5.15.1,181019,0.937540504,,,NA,NA,NA,NA,NA,NA,NA,NA
5.10.4,181019,0.990163523,,,NA,NA,NA,NA,NA,NA,NA,NA
5.11.1,B,0.512543094,5.11.2,end,17.5,7.33,3.07,7.61,21.2,12.4,4.54,7.55
5.11.10,B,0.558613405,5.11.10*5,end,6.91,73.5,5.57,46.9,6.77,75.6,2.75,35.4
5.11.10*5,B,0.203042083,5.11.11,end,6,38.5,2.43,29.7,3.55,25.1,1.56,13.9
5.11.2,B,0.186401677,5.11.3,end,18,115,4.09,16,18.1,113,5,6.03
5.11.3.1.1,B,0.332577093,5.11.3.1.2,end,6.89,78.2,4.03,2.73,6.51,78.3,4.11,10.7
5.11.3.4,B,0.439361042,end,end,4.47,52.7,3.23,26.3,4.47,32.7,1.24,13.8
5.11.4,B,0.505268938,5.11.5,5.11.4.1,9.87,53.2,8.59,60.2,9.48,51.9,8.9,58.7
5.11.4.1,B,0.24003618,5.11.4.4,end,7.6,33.9,6.83,15.2,3.07,37.3,4.76,4.43
5.11.4.4,B,0.373462982,5.11.4.5,end,7.07,56.8,6.16,44.2,5.82,53.8,4.04,44.1
5.11.4.5,B,0.027200748,5.11.4.6,end,3.93,59.9,3.91,32.3,3.78,58.9,2.92,19.4
5.11.4.6,B,0.299838448,end,end,2.44,37.7,4.68,2.02,1.48,4.6,1.22,22.1
5.11.5,B,0.099017904,5.11.7,5.11.5.3,8.73,52.7,8.94,70.8,9.45,57.4,8.63,71.6
5.11.5.3,B,0.015906576,5.11.5.4,end,6.95,17.3,5.71,27.9,6.85,18.8,5.59,41.5
5.11.5.4,B,0.429515974,5.11.5.7,end,7.52,60.5,3.88,8.04,4.64,59.1,3.9,8.47
5.11.5.7,B,0.352586649,5.11.5.8,end,4.64,34.9,2.01,4.67,5.12,32.7,3.26,41.2
