nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
8.2.4.3.1,B,0.303584259,8.2.4.3.3,end,12.5,69.6,3.17,7.93,9.97,63.2,4.13,10.3
8.2.4.3.2,B,0.342061727,8.2.4.3.3,end,8.85,60.1,7.81,26.2,8.53,60.8,3.32,41.1
8.2.4.3.3,B,0.446380139,8.2.4.3.4,end,5.87,22.3,8.89,1.9,5.85,22.2,9.15,2.14
8.2.4.4,B,0.615719495,end,end,5.94,2.74,3.65,9.7,7.19,0.895,2.61,8.42
8.2.5,B,0.289522848,8.2.7,8.2.5.1,17.9,90.1,8.27,52.5,17.7,88.4,9.53,51.5
8.2.9,B,0.125690518,8.2.10,end,13.2,59,8.71,6.37,13.2,63,8.79,3.45
8.3.*5,B,0.515609515,8.3.1,end,14.9,30.4,6.49,3.34,16.5,33.5,3.24,1.07
8.3.1*0,B,0.320355059,8.3.2,end,14.6,72.9,3.75,5.95,14.5,71.9,3.6,5.89
8.3.1*5,B,0.330900837,8.3.2,end,13.3,21.9,9.01,3.6,13.8,21.2,9.59,4.28
8.3.10,B,0.283496835,8.3.12,8.3.10.1,9.85,14.3,9.18,81.8,7.68,17.3,8.2,83.4
8.3.2,B,0.580881615,8.3.3,end,15,43.2,9.05,3.27,13.9,41.7,11.9,8.44
8.3.3,B,0.421554267,8.3.4,end,12.3,61.6,12.7,3.31,14.3,64,3.6,9.12
8.3.4,B,0.581526115,8.3.5,end,11.1,22.6,13.4,11.3,12,22.8,12,10.2
8.3.5,B,0.201552887,8.3.6,end,10.8,30.7,7.32,22.5,11.8,29.2,7.47,22.3
8.3.6,B,0.436764932,8.3.8,end,11.8,12.6,7.36,7.63,12.1,11.8,7.58,6.91
8.3.7,B,0.166034328,8.3.10,end,12.5,84.8,6.47,3.55,12.3,87.9,6.15,4.32
8.3.8,B,0.400182133,8.3.10,end,10.4,87.8,3.92,8.93,10.8,87.8,7.27,9.18
8.4.*1,B,0.423317542,8.4.1,end,18.2,89,5.02,7.2,18.1,90.1,5.9,10.9
8.4.*5,B,0.084209527,8.4.1,end,15.9,66.4,7.12,33.6,16.7,68.2,8.44,33.5
8.4.*55,B,0.217733272,8.4.2,end,15.5,51.9,8.26,16.9,15.5,54.1,9.01,14.5
8.4.3,B,0.328452232,8.4.4,end,15.1,68.6,7.89,6.23,15.3,69.5,7.99,6.83
8.4.4,B,0.059761313,8.4.5,8.4.4.2,12.1,40.2,10.9,158,12.2,40.9,8.95,158
8.5.1.1,B,0.357765833,end,end,4.95,51.6,4.2,5.66,4.48,53.5,6.24,6.09
8.5.2,B,0.46683265,8.5.3,8.5.2.1,15.7,126,13.6,89.3,18,124,12.2,84.1
8.5.2.1,B,0.321914428,8.5.2.2,end,11.2,171,7.11,31,11.2,172,7.31,29.9
8.6.1,B,0.520118829,8.6.2,8.6.1.1,13.8,192,12.4,108,13.3,188,11.2,105
8.6.1.1,B,0.36409443,end,end,12.3,3.78,4.98,14.9,12.6,5.24,5.59,14
8.6.2,B,0.013187883,8.6.3,end,11.5,30.2,11,149,11.2,36.1,9.54,148
8.6.3,B,0.544965177,8.6.4,end,11.7,108,15.5,94.6,10.8,104,14.2,93.8
8.6*5,B,0.569627115,8.6.2,end,12.4,188,3.23,25,15,182,1.97,44.4
8.7.2,B,0.419889487,end,end,7.05,91.7,4.74,7.26,13.3,273,15.9,181
8.4.4.2,B,0.624754273,,,,,,,,,,
8.1.2.3,B,0.625345663,,,,,,,,,,
8.5.2.2,B,0.628708961,,,,,,,,,,
8.4.9.1,B,0.636617641,,,,,,,,,,
8.4.9,B,0.652137206,,,,,,,,,,
8.7.3,B,0.71457317,,,,,,,,,,
8.5.1,B,0.715861639,,,,,,,,,,
8.1.*5,B,0.721069602,,,,,,,,,,
8.5.3,B,0.737120374,,,,,,,,,,
8.4.1,B,0.741232512,,,,,,,,,,
8.3.1,B,0.774495753,,,,,,,,,,
8.4.2,B,0.824185117,,,,,,,,,,
8.2.2*5,B,0.827638423,,,,,,,,,,
8.2.5.1,B,0.829961294,,,,,,,,,,
8.2.7,B,0.839700783,,,,,,,,,,
8.5.*5,B,0.876820833,,,,,,,,,,
8.2.11,B,0.877744956,,,,,,,,,,
8.2.11.1,B,0.885050789,,,,,,,,,,
8.1.5.2,B,0.887219261,,,,,,,,,,
8.1.4,B,0.895326268,,,,,,,,,,
8.2,B,0.942191673,,,,,,,,,,
8.4.5,B,0.954958537,,,,,,,,,,
8.1.2.1,B,0.97578677,,,,,,,,,,
8.6.4,B,0.981871409,,,,,,,,,,
8.5.3.1,B,0.986602123,,,,,,,,,,
8.7,B,0.992135069,,,,,,,,,,
8.1.1,B,0.998867208,,,,,,,,,,
