ELM BRANCH 14,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
14,NA,15.2,,NA,,14.1,7.4,,39.8,
14.5.1,14.5.2,1.48,,3.4,,end,1.12,,4.2,b
14.7,14.8,4,,27,,end,2.24,,40.8,
14.1,14.3,7.6,,48.4,,end,0.89,,24.8,
