MEMORIAL OAK BRANCH 9,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
9,NA,NA,,NA,,9.1,NA,,NA,
9.1,9.2,NA,,NA,,end,NA,,NA,
9.10,9.13,15,,63,,end,1.79,,9,b
9.11,9.13,NA,,NA,,end,NA,,NA,
9.13,9.14,15.4,,30.6,,end,2.56,,1.8,b
9.14,9.18,15.1,,84,,end,6.92,,2.2,b
9.14.1,9.14.3,NA,,NA,,end,NA,,NA,
9.14.2,9.14.3,NA,,NA,,end,NA,,NA,
9.14.3,9.14.6,NA,,NA,,end,NA,,NA,
9.15,9.17,NA,,NA,,end,NA,,NA,
9.16,9.18,15,,70.2,,end,6.09,,30.6,
9.21,9.22,12.1,,74.4,,9.21.1,6.9,,24.8,
9.21.2,9.21.3,6.5,,12,,end,1.7,,3.8,b
9.21.3,end,6.5,,39.4,,end,1.46,,7,b
9.22,9.26,9.8,,111.8,,end,6.9,,138.6,
9.22.4,end,NA,,NA,,end,NA,,NA,
9.29,end,6.8,,37.4,,end,4.4,,3.2,
9.3,9.6,18.9,,40.6,,end,1.66,,0.6,b
9.4,9.6,18.9,,39,,end,1.61,,NA,
9.5,9.8,22.3,,74.4,,end,4.6,,1.6,b
9.8,9.10,18,,8.4,,end,1.66,,31.2,b
9.9,9.14,17.6,,97.4,,end,2.61,,14.2,
