# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.049456,41.814041,193.590321
point 24,,,,,,,,-88.049366,41.813974,193.880958
point 25,,,,,,,,-88.049525,41.813977,193.841356
point 26,,,,,,,,-88.049612,41.814063,193.659514
point 27,,,,,,,,-88.049555,41.814148,193.654949
point 28,,,,,,,,-88.049396,41.814209,193.615876
point 29,,,,,,,,-88.049306,41.814153,193.450603
point 30,,,,,,,,-88.049281,41.814068,193.532013
point 31,,,,,,,,-88.049469,41.814049,193.625011
point 32,,,,,,,,-88.049430,41.813924,194.174896
point 33,,,,,,,,-88.049646,41.814007,193.923604
point 34,,,,,,,,-88.049514,41.814218,193.698478
point 35,,,,,,,,-88.049359,41.814244,193.637621
point 36,,,,,,,,-88.049238,41.814043,193.766402
8,,,,,,,,-88.049428,41.814068,197.868025
8-1,,,,,,,,-88.049427,41.814063,198.400073
8-1-.5,,,,,,,,-88.049426,41.814062,198.493777
8-1-1,,,,,,,,-88.049430,41.814059,198.459802
8-1-2,,,,,,,,-88.049432,41.814054,198.446176
8-1-2-1,,,,,,,,-88.049430,41.814053,198.587141
8-1-2-2,,,,,,,,-88.049428,41.814052,198.699396
8-1-2-4,,,,,,,,-88.049430,41.814047,198.723783
8-1-2-3,,,,,,,,-88.049429,41.814049,198.720126
8-1-3-1,,,,,,,,-88.049427,41.814043,197.979012
8-1-4,,,,,,,,-88.049442,41.814041,198.064635
8-1-5,,,,,,,,-88.049435,41.814030,198.036855
8-1-6,,,,,,,,-88.049430,41.814023,198.694347
8-1-5-2,,,,,,,,-88.049435,41.814024,197.975635
8-1-5-3,,,,,,,,-88.049436,41.814022,198.081214
8-1-5-4,,,,,,,,-88.049435,41.814019,198.143356
8-1-5-5,,,,,,,,-88.049436,41.814019,198.310979
8-1-5-6,,,,,,,,-88.049439,41.814016,198.361202
8-2,,,,,,,,-88.049420,41.814068,199.122442
8-2-.5,,,,,,,,-88.049419,41.814069,199.071404
8-2-.55,,,,,,,,-88.049413,41.814070,199.262697
8-2-1,,,,,,,,-88.049413,41.814068,199.223187
8-2-2,,,,,,,,-88.049406,41.814069,199.247792
8-2-2.5,,,,,,,,-88.049401,41.814070,199.349071
8-2-3,,,,,,,,-88.049392,41.814071,199.705053
8-2-4,,,,,,,,-88.049383,41.814071,199.884301
8-2-4-1,,,,,,,,-88.049383,41.814071,199.925001
8-2-4-2,,,,,,,,-88.049377,41.814069,199.999392
8-2-4-3,,,,,,,,-88.049371,41.814066,199.839141
8-2-4-3.5,,,,,,,,-88.049371,41.814067,199.953390
8-2-4-3-.5,,,,,,,,-88.049371,41.814065,199.858181
8-2-4-3-1,,,,,,,,-88.049370,41.814063,199.627955
8-2-4-3-2,,,,,,,,-88.049369,41.814063,199.729188
8-2-4-3-3,,,,,,,,-88.049363,41.814060,199.719034
8-2-4-3-4,,,,,,,,-88.049364,41.814057,199.846357
8-2-4-3-5,,,,,,,,-88.049365,41.814054,200.268637
8-2-4-3.55,,,,,,,,-88.049362,41.814067,200.076150
8-2-4-4,,,,,,,,-88.049350,41.814066,201.024057
8-2-5,,,,,,,,-88.049382,41.814075,200.110376
8-2-5-1,,,,,,,,-88.049381,41.814077,200.551491
8-2-7,,,,,,,,-88.049374,41.814080,200.374145
8-2-9,,,,,,,,-88.049365,41.814082,200.605953
8-2-10,,,,,,,,-88.049358,41.814083,200.724576
8-2-11,,,,,,,,-88.049350,41.814085,200.916970
8-2-11-1,,,,,,,,-88.049350,41.814087,201.113292
8-2-11-2,,,,,,,,-88.049347,41.814085,201.395005
8-2-11-3,,,,,,,,-88.049345,41.814085,201.607218
8-3,,,,,,,,-88.049418,41.814062,200.161279
8-3-1,,,,,,,,-88.049417,41.814055,200.231939
8-3-.5,,,,,,,,-88.049417,41.814058,200.238637
8-3-1.5,,,,,,,,-88.049414,41.814050,200.150890
8-3-2,,,,,,,,-88.049412,41.814050,200.266279
8-3-3,,,,,,,,-88.049412,41.814046,200.159762
8-3-2.5,,,,,,,,-88.049411,41.814047,200.190097
8-3-4,,,,,,,,-88.049407,41.814042,200.516041
8-3-5,,,,,,,,-88.049407,41.814040,200.695878
8-3-6,,,,,,,,-88.049404,41.814040,200.792026
8-3-7,,,,,,,,-88.049403,41.814039,200.637283
8-3-8,,,,,,,,-88.049402,41.814039,200.781262
8-3-10,,,,,,,,-88.049398,41.814033,200.355890
8-3-12,,,,,,,,-88.049396,41.814033,200.178724
8-3-13,,,,,,,,-88.049394,41.814029,199.996382
8-3-14,,,,,,,,-88.049390,41.814026,200.046175
8-3-10-1,,,,,,,,-88.049397,41.814026,200.282790
8-3-10-2,,,,,,,,-88.049396,41.814024,200.235996
8-3-1.0,,,,,,,,-88.049415,41.814055,200.168949
8-4,,,,,,,,-88.049407,41.814060,201.488504
8-4-.0,,,,,,,,-88.049404,41.814058,201.737557
8-4-.1,,,,,,,,-88.049396,41.814053,201.951001
8-4-.5,,,,,,,,-88.049395,41.814052,202.067635
8-4-.2,,,,,,,,-88.049398,41.814052,202.051056
8-4-.3,,,,,,,,-88.049397,41.814051,202.088401
8-4-.1-1,,,,,,,,-88.049396,41.814053,201.865478
8-4-1,,,,,,,,-88.049392,41.814046,202.239234
8-4-.55,,,,,,,,-88.049391,41.814047,202.151095
8-4-2,,,,,,,,-88.049388,41.814044,202.494756
8-4-1.5,,,,,,,,-88.049387,41.814044,202.382277
8-4-2-1,,,,,,,,-88.049388,41.814044,202.860052
8-4-2-2,,,,,,,,-88.049389,41.814046,203.065057
8-4-3,,,,,,,,-88.049384,41.814042,202.579111
8-4-3.5,,,,,,,,-88.049380,41.814040,202.695285
8-4-4,,,,,,,,-88.049380,41.814037,202.804105
8-4-4-2,,,,,,,,-88.049370,41.814028,203.747113
8-4-5,,,,,,,,-88.049378,41.814034,202.783184
8-4-7,,,,,,,,-88.049374,41.814028,202.845295
8-4-8,,,,,,,,-88.049371,41.814024,202.892727
8-4-9,,,,,,,,-88.049371,41.814023,203.207206
8-4-9-1,,,,,,,,-88.049371,41.814022,203.278464
8-4-10,,,,,,,,-88.049380,41.814021,203.824394
8-5,,,,,,,,-88.049404,41.814061,202.403775
8-5-.5,,,,,,,,-88.049396,41.814065,203.710314
8-5-.55,,,,,,,,-88.049393,41.814063,203.984609
8-5-1,,,,,,,,-88.049390,41.814063,204.303535
8-5-1-1,,,,,,,,-88.049389,41.814059,204.695474
8-5-1.5,,,,,,,,-88.049386,41.814066,204.503807
8-5-2,,,,,,,,-88.049384,41.814068,205.095938
8-5-2-.5,,,,,,,,-88.049382,41.814071,205.334857
