# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.083844,41.821275,193.281744
point 24,,,,,,,,-88.083749,41.821175,193.021103
point 25,,,,,,,,-88.083685,41.821291,193.197422
point 26,,,,,,,,-88.083722,41.821374,193.415904
point 27,,,,,,,,-88.083876,41.821400,193.608674
point 28,,,,,,,,-88.083970,41.821350,193.728453
point 29,,,,,,,,-88.083948,41.821258,193.423898
point 30,,,,,,,,-88.083893,41.821183,193.257918
point 31,,,,,,,,-88.083861,41.821276,193.321909
point 32,,,,,,,,-88.083666,41.821161,193.001258
point 33,,,,,,,,-88.083631,41.821331,193.321422
point 34,,,,,,,,-88.083805,41.821438,193.673056
point 35,,,,,,,,-88.084005,41.821395,194.138415
point 36,,,,,,,,-88.083971,41.821194,193.465464
1,,,,,,,,-88.083829,41.821295,198.186778
1-1,,,,,,,,-88.083829,41.821298,198.454395
1-1-1,,,,,,,,-88.083823,41.821300,198.301920
1-1-1.1,,,,,,,,-88.083818,41.821303,198.207641
1-1-2,,,,,,,,-88.083816,41.821306,198.260138
1-1-3,,,,,,,,-88.083812,41.821310,198.268335
1-2,,,,,,,,-88.083837,41.821301,199.275561
1-4,,,,,,,,-88.083838,41.821302,199.705212
1-3,,,,,,,,-88.083837,41.821301,199.620825
1-4-1,,,,,,,,-88.083837,41.821303,199.614096
1-5,,,,,,,,-88.083841,41.821303,199.931754
1-6,,,,,,,,-88.083841,41.821304,199.924009
1-5-1,,,,,,,,-88.083846,41.821297,200.287637
1-6-1,,,,,,,,-88.083846,41.821306,200.033975
1-7,,,,,,,,-88.083840,41.821307,200.271929
1-7-1,,,,,,,,-88.083839,41.821308,200.239820
1-7-1-1,,,,,,,,-88.083834,41.821310,200.151636
1-7-2,,,,,,,,-88.083837,41.821306,200.277049
1-7-3,,,,,,,,-88.083836,41.821304,200.225560
1-7-4,,,,,,,,-88.083835,41.821303,200.238294
1-7-4.1,,,,,,,,-88.083835,41.821303,200.199694
1-7-5,,,,,,,,-88.083831,41.821303,200.381460
1-7-6,,,,,,,,-88.083830,41.821301,200.350836
1-7-5.1,,,,,,,,-88.083831,41.821303,200.392638
1-7-6,,,,,,,,-88.083828,41.821303,200.660146
1-7-7,,,,,,,,-88.083828,41.821303,200.695751
1-8,,,,,,,,-88.083844,41.821312,200.336892
1-9,,,,,,,,-88.083844,41.821312,200.705166
1-9-1,,,,,,,,-88.083850,41.821308,201.215161
1-9-2,,,,,,,,-88.083850,41.821308,201.275613
1-9-2-1,,,,,,,,-88.083848,41.821306,201.344948
1-9-3,,,,,,,,-88.083852,41.821308,201.457560
1-9-4,,,,,,,,-88.083853,41.821309,201.914712
1-9-5,,,,,,,,-88.083853,41.821309,201.955424
1-10.1,,,,,,,,-88.083846,41.821316,200.941511
1-10.2,,,,,,,,-88.083845,41.821317,201.104278
1-10.3,,,,,,,,-88.083844,41.821318,201.133529
1-10.1-1,,,,,,,,-88.083853,41.821314,200.919728
1-11,,,,,,,,-88.083846,41.821321,201.343953
1-12,,,,,,,,-88.083845,41.821321,201.366458
1-11-1,,,,,,,,-88.083851,41.821322,201.356020
1-12-.1,,,,,,,,-88.083844,41.821320,201.648962
1-12-1,,,,,,,,-88.083845,41.821320,201.848324
1-12-2,,,,,,,,-88.083845,41.821321,202.111739
1-12-3,,,,,,,,-88.083843,41.821320,202.445253
1-13,,,,,,,,-88.083846,41.821326,201.367517
1-12.1,,,,,,,,-88.083846,41.821325,201.415343
1-14,,,,,,,,-88.083846,41.821326,201.546816
1-16,,,,,,,,-88.083845,41.821332,201.580125
1-16.1,,,,,,,,-88.083844,41.821333,201.870708
1-17,,,,,,,,-88.083843,41.821333,201.931942
1-17-1,,,,,,,,-88.083843,41.821333,202.106973
1-17-2,,,,,,,,-88.083843,41.821333,202.176950
1-14.1,,,,,,,,-88.083845,41.821327,201.550877
1-14-1,,,,,,,,-88.083845,41.821326,201.527783
1-14-2,,,,,,,,-88.083844,41.821326,201.694205
1-14-3,,,,,,,,-88.083843,41.821326,201.781679
1-14-4,,,,,,,,-88.083842,41.821326,201.785723
1-14-5,,,,,,,,-88.083842,41.821327,201.971439
1-14-6,,,,,,,,-88.083842,41.821327,201.995945
1-14-7,,,,,,,,-88.083841,41.821328,202.162332
1-15,,,,,,,,-88.083846,41.821329,201.651847
1-16-1,,,,,,,,-88.083844,41.821334,201.533132
