ELM BRANCH 2,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
2,NA,34.1,,NA,,2.1,14.8,,NA,NA
2.1,2.5,8.5,,184.6,,end,6.1,,329.2,
2.5,2.6,5.3,,7.4,,end,4,,245.2,
2.6,2.7,5.3,,23.6,,end,5.1,,260.8,
2.4,2.5,0.86,,NA,,2.4.1,0.92,,23.8,
2.7,end,4.2,,240.6,,end,3.4,,197.4,
2.2.2,end,NA,,NA,,end,NA,,NA,
2.5.1,2.5.2,3.4,,,,end,1.06,,,
2.1*1,2.2,NA,,NA,,end,NA,,NA,
2.3,2.5,6.5,,24.6,,2.3.1,1.45,,16.4,
