nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
20-1-5,180222,,,,,,,,,,,
20-1-4,180222,,,,,,,,,,,
20-1-8,180222,,,,,,,,,,,
20-2,180222,,,,,,,,,,,
20-3,180222,,,,,,,,,,,
20,180222,,,,,,,,,,,
20-1-1,180222,,,,,,,,,,,
20-1-3,180222,,,,,,,,,,,
20-6,180222,,,,,,,,,,,
20-1-1-1,180222,,,,,,,,,,,
20-1-6,180222,,,,,,,,,,,
20-1-1-2,180222,,,,,,,,,,,
20-4,180222,,,,,,,,,,,
20-1,180222,,,,,,,,,,,
20-1-7,180222,,,,,,,,,,,
20-5,180222,,,,,,,,,,,
20-1-1-3,180222,,,,,,,,,,,
20-1-2,180222,,,,,,,,,,,
