ELM BRANCH 4,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
4,NA,32,,NA,,4.1,13,,NA,
4.1,4.3,8.8,,42.8,,end,2.58,,95.2,b
4.3,end,5.3,,306.8,,4.3.1,7.8,,72.6,
4.3.1,end,7,,380.2,,end,2.84,,144.2,b
4.3.1.2,end,NA,,NA,,end,NA,,NA,
4.3.2,4.3.3,7.1,,30.4,,end,2.53,,74.4,b
4.3.3,4.3.4,6.5,,25.8,,end,2.69,,79.6,b
4.3.5,4.3.6,5,,24.6,,end,3.1,,161.8,
4.3.6,end,4.4,,256.8,,end,2.48,,175.2,
