nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
2.1,both,,,,,,,,,,,
2.5,both,,,,,,,,,,,
2.6,both,,,,,,,,,,,
2,both,,,,,,,,,,,
2.4,180222,,,,,,,,,,,
2.7,180222,,,,,,,,,,,
2.5.1,180222,,,,,,,,,,,
2.2.2,180222,,,,,,,,,,,
2.5.3,180222,,,,,,,,,,,
2.3.1.1,180222,,,,,,,,,,,
2.4.1,180222,,,,,,,,,,,
2.3,180222,,,,,,,,,,,
2.2,180222,,,,,,,,,,,
2.5.2,180222,,,,,,,,,,,
2.3.1,180222,,,,,,,,,,,
2.2.1,180222,,,,,,,,,,,
2.3.1.2,180222,,,,,,,,,,,
2.8,180222,,,,,,,,,,,
NA,180222,,,,,,,,,,,
2.1*1,180323,,,,,,,,,,,
NA,180323,,,,,,,,,,,
