ELM BRANCH 18,,,,,,,,,
,,,,,,,,,
,main,,,,,branch,,,
node,to node,diameter,,length,,to node,diameter,,length
18,NA,113,,NA,,18-1,6.5,,27.2
18-4-1,18-4-2,2.03,,24.2,,end,0.95,,56.8
18-3,18-5,6.9,,144.6,,end,1.41,,35.2
