node,to node,diameter,,length,,to node,diameter,,length,
13,NA,,,,,13.1,,,,
13.1,13.2,15.4,,62.2,,13.1.1,11.3,,168.6,
13.2,13.4,13.9,,178,,end,2.26,,2.2,b
13.5,13.6,8.4,,68.4,,end,7.5,,21.6,
13.6,13.8,7.7,,81.6,,end,6.8,,48,
13.8,13.9,7.4,,22.2,,end,1.66,,1.8,b
13.*5,13.1,,,,,end,,,,
13.4.1,end,1.26,,44.2,,end,1.35,,36.4,
13.8.1,end,,,,,end,,,,
