"","nodes","presence","random","mainnodeto","branchnodeto","maindiameter.171221","mainlength.171221","branchdiameter.171221","branchlength.171221","maindiameter.180109","mainlength.180109","branchdiameter.180109","branchlength.180109"
"60","5.11.5.8","B",0.5788945359,"5.11.5.9","end",2.62,27.9,2.68,16,2.36,29.7,2.92,12.1
"61","5.11.8","B",0.1785289544,"5.11.9","end",8.49,64.1,4.02,10.7,8.3,63.2,5.26,10.4
"62","5.12","B",0.5709390357,"5.13","end",18.9,66.6,5.54,27.9,17.7,66,8.44,10.8
"63","5.13","B",0.1997536704,"5.14","end",17.3,50.6,5.26,6.77,17.4,52,5.74,4.38
"64","5.14","B",0.1730185078,"5.15","end",19.2,26.8,3.62,25.5,18,29.3,2.41,6.2
"65","5.15","B",0.01967990748,"5.16","5.15.2",12.9,49,10.9,181,14.5,51.3,11.9,185
"66","5.15.2","B",0.3753867733,"5.15.3","end",10.2,51.1,5.38,11,10.7,50.6,4.29,10.1
"67","5.15.3","B",0.2338559916,"5.15.4","end",9.77,22.3,5.99,72,6.06,21.8,5.44,78.3
"68","5.15.5","B",0.477758128,"end","5.15.5.1",6.08,97.3,6.46,10.2,4.92,104,7.09,11.7
"69","5.15.5.1","172112",0.1418572946,"5.15.5.2","5.15.5.1.1",7.09,87.7,5.86,78.8,NA,NA,NA,NA
"70","5.16.2","B",0.005924163208,"5.16.3","end",5.15,56.5,4.24,34.5,6.68,55.4,6.87,7.06
"71","5.16.4","B",0.04449675472,"end","end",1.99,7.87,1.93,5.78,2.32,41.1,3.8,7.26
"72","5.17","B",0.4219701404,"5.18","5.17.1",11.5,95.8,11.1,40.5,10.3,97.4,10.8,44.8
"73","5.17.1","B",0.07241727401,"5.17.2","5.17.1.1",9.27,NA,7.65,86.1,10.8,NA,8.74,89.7
"74","5.17.1.1","B",0.3402850233,"5.17.1.2","end",5.54,105,5.41,41.1,9.3,98.5,5.57,36.6
"75","5.17.3","B",0.4785792163,"5.17.4","end",7.32,26.7,5.92,33.1,8.45,17.4,3.89,8.45
"76","5.17.4","B",0.04188691186,"5.17.5","end",2.82,42.2,2.71,10.7,10.2,35.6,2.05,11.8
"77","5.17.5","B",0.2694883077,"end","end",5.06,19.4,2.33,5.97,5.03,169,4.95,10.1
"78","5.18","B",0.157557353,"5.19","5.18.1",9.34,116,8.9,88.6,6.86,114,6.35,84.6
"79","5.18.1","B",0.3011801228,"end","end",10,43.1,6.1,102,5.29,43.1,3.3,33.4
"80","5.2","B",0.1850642184,"5.4","end",32.7,69.8,6.02,2.51,34.8,70.6,6.83,12
"81","5.20","B",0.2412810791,"end","end",3.42,14.9,2.8,21.1,NA,NA,NA,NA
"82","5.4","B",0.08714889473,"5.6","end",29.1,61.4,3.48,4.92,29.8,61.9,2.55,6.59
"83","5.6","B",0.2359461728,"5.8","end",32.4,40.1,6.79,72.7,32.1,42.1,4.18,86.8
"84","5.7","B",0.4221180889,"5.8","5.7.1",26.1,30,9.73,66.8,26.5,33.1,9.4,68.6
"85","5.7.5","B",0.4144157567,"5.7.7","end",6.78,122,6.81,56.4,8.02,121,13.9,137
"86","5.7.7","B",0.5108754446,NA,"end",NA,NA,6.56,33.7,NA,NA,5.59,92.3
"87","5.8","B",0.1508445344,"5.9","end",25.5,45.6,10.2,61.3,28.6,41.3,9.12,27.5
"88","5.9","B",0.3205109402,"5.10","end",25.3,78.1,4.01,19,27.2,81.4,4.41,44.6
