WALNUT2 BRANCH 1,,,,,,,,,,
,,,,,,,,,,
,main,,,,,branch,,,,
node,to node,diameter,,length,,to node,diameter,,length,
1,NA,40,,NA,,1.1,13.4,,45.8,
1.1,1.2,13,,105.5,,1.1.1,6.15,b,NA,b
1.14,1.15,4.6,,33.1,,end,2.74,,140.9,
1.15,1.16,4.7,,28,,end,2.39,,7.2,b
1.17,end,2.22,,93.2,,end,1.63,,65,
1.2,1.3,NA,,36.4,,end,NA,,21,b
1.3,1.4,10.9,,14.3,,end,1.41,,4.4,b
1.4,1.5,10.8,,35.1,,end,2.23,,31.2,b
1.5,1.6,12.3,,10.5,,end,4.21,,NA,b
1.6,1.7,9.9,,50.2,,1.6.1,4.5,,44.5,
1.1.1,1.1.2,6,,96.3,,end,3.33,,199.2,
1.1.1*1,end,4.7,,267.5,,end,2.82,,220.9,
1.1.3,end,4.1,,197.1,,end,1.7,,8.2,b
1.1,1.12,NA,,NA,,end,NA,,NA,
1.12.*1,1.12.1,2.95,,18.2,,end,1.49,,70.2,b
1.12.1,end,2.66,,153.1,,end,1.84,,92.5,
1.12.2,1.12.3,2.84,,30,,end,1.58,,61.2,
1.12.3,end,1.82,,104.8,,end,1.69,,82.2,
1.14.7,end,1.4,,72.2,,end,1.23,,8.2,b
1.16.1,end,2.26,,113.8,,end,1.48,,85.8,
1.5.1,end,NA,,NA,,end,NA,,NA,
1.6.1,end,2.94,,NA,b,end,4.94,,88.4,
1.7.1.1,end,2.9,,103.8,,end,2.04,,82.2,
1.7.2,1.7.3,2.5,,18.8,,end,2.12,,64.2,
1.7.3,1.7.4,2.54,,10,,end,0.89,,25.1,
1.7.4,1.7.5,2.39,,39.8,,end,1.12,,29.9,
1.7.4*1,1.7.5,2.02,,37.6,,end,1.73,,50.4,b
1.7.5,end,1.16,,49.8,,end,1.52,,78.2,
1.7.7,end,0.99,,12.2,,end,0.56,,10.9,
