# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.049428,41.814066,138.703439
point 24,,,,,,,,-88.049348,41.813909,138.840280
point 25,,,,,,,,-88.049461,41.813929,138.965717
point 26,,,,,,,,-88.049660,41.814115,138.754888
point 27,,,,,,,,-88.049614,41.814002,138.912930
point 28,,,,,,,,-88.049551,41.814201,138.761451
point 29,,,,,,,,-88.049287,41.814213,138.351275
point 30,,,,,,,,-88.049240,41.814100,138.316205
point 31,,,,,,,,-88.049444,41.814064,138.722480
point 32,,,,,,,,-88.049589,41.813934,139.070214
point 33,,,,,,,,-88.049696,41.814166,138.847583
point 34,,,,,,,,-88.049398,41.814280,138.664689
point 35,,,,,,,,-88.049197,41.814069,138.400124
point 36,,,,,,,,-88.049307,41.813906,138.896571
1,,,,,,,,-88.049434,41.814085,140.658491
1-1,,,,,,,,-88.049433,41.814088,141.140167
1-2,,,,,,,,-88.049427,41.814095,141.594920
1-3,,,,,,,,-88.049423,41.814114,141.698797
1-3-1,,,,,,,,-88.049423,41.814116,142.081916
1-3-1-1,,,,,,,,-88.049422,41.814116,142.236990
1-4,,,,,,,,-88.049423,41.814118,141.625643
1-5,,,,,,,,-88.049420,41.814121,141.844585
1-5-.5,,,,,,,,-88.049423,41.814122,142.483708
1-5-1,,,,,,,,-88.049422,41.814121,142.626397
1-5-2,,,,,,,,-88.049422,41.814123,142.827656
1-5-1-1,,,,,,,,-88.049422,41.814120,142.916156
1-5-2-1,,,,,,,,-88.049420,41.814125,143.161876
1-6,,,,,,,,-88.049415,41.814126,142.086313
1-6-1,,,,,,,,-88.049418,41.814125,142.379229
1-6-2,,,,,,,,-88.049419,41.814126,142.600748
1-7-1,,,,,,,,-88.049405,41.814138,141.981532
1-7-2,,,,,,,,-88.049401,41.814142,141.752970
1-7-3,,,,,,,,-88.049400,41.814145,141.776785
1-7-3-1,,,,,,,,-88.049397,41.814146,141.838828
1-8-1,,,,,,,,-88.049411,41.814131,142.821306
1-8-1-1,,,,,,,,-88.049412,41.814132,143.145297
1-8-1-2,,,,,,,,-88.049411,41.814136,143.353879
1-8-1-2.5,,,,,,,,-88.049404,41.814146,143.143577
1-8-1-2.55,,,,,,,,-88.049401,41.814148,143.264492
1-8-1-3,,,,,,,,-88.049401,41.814149,143.338508
1-8-2,,,,,,,,-88.049413,41.814141,142.838804
1-8-3,,,,,,,,-88.049417,41.814145,142.742233
1-8-4,,,,,,,,-88.049421,41.814149,142.456673
1-8-5,,,,,,,,-88.049423,41.814148,142.357252
1-8-4-1,,,,,,,,-88.049422,41.814151,142.465888
1-8-6,,,,,,,,-88.049423,41.814150,142.140590
1-8-7,,,,,,,,-88.049428,41.814157,142.222351
1-8-2-1,,,,,,,,-88.049413,41.814141,142.930324
1-8-2-3,,,,,,,,-88.049411,41.814144,143.118938
1-8-2-4,,,,,,,,-88.049408,41.814148,143.110563
1-8-2-5,,,,,,,,-88.049408,41.814150,143.288013
1-8-2-2,,,,,,,,-88.049411,41.814144,143.250255
1-8-2-6,,,,,,,,-88.049408,41.814152,143.194744
1-9-1,,,,,,,,-88.049402,41.814131,142.757387
1-9-3,,,,,,,,-88.049392,41.814135,142.966857
1-9-4,,,,,,,,-88.049385,41.814136,142.953349
1-9-5,,,,,,,,-88.049384,41.814140,143.300475
1-9-6,,,,,,,,-88.049385,41.814140,143.526040
1-9-5-1,,,,,,,,-88.049382,41.814142,143.475042
1-9-5-2,,,,,,,,-88.049381,41.814144,143.455211
1-9-5-3,,,,,,,,-88.049381,41.814147,143.662316
1-9-5-4,,,,,,,,-88.049382,41.814147,143.630532
1-9-4.5,,,,,,,,-88.049385,41.814137,143.128456
1-10,,,,,,,,-88.049400,41.814142,142.526515
1-10-1,,,,,,,,-88.049397,41.814145,142.709593
1-10.5,,,,,,,,-88.049399,41.814148,142.434317
1-11,,,,,,,,-88.049400,41.814152,142.370476
1-11-1,,,,,,,,-88.049399,41.814154,142.191720
1-11-2,,,,,,,,-88.049399,41.814155,142.045404
1-11-3,,,,,,,,-88.049397,41.814156,142.106285
1-12,,,,,,,,-88.049399,41.814154,142.718503
1-12-1,,,,,,,,-88.049397,41.814154,142.976520
1-12-2,,,,,,,,-88.049394,41.814156,143.085080
1-13,,,,,,,,-88.049398,41.814157,142.849923
1-14,,,,,,,,-88.049397,41.814163,142.776837
1-14-1,,,,,,,,-88.049399,41.814165,142.803461
1-14-2,,,,,,,,-88.049398,41.814167,142.979742
1-14-2-1,,,,,,,,-88.049400,41.814168,143.289839
1-15,,,,,,,,-88.049395,41.814163,143.018737
1-16,,,,,,,,-88.049393,41.814164,143.137562
1-12-1.2,,,,,,,,-88.049396,41.814155,143.108714
1-12-1.5,,,,,,,,-88.049395,41.814156,143.024880
1-7,,,,,,,,-88.049410,41.814129,142.177110
1-8,,,,,,,,-88.049410,41.814129,142.362126
1-9,,,,,,,,-88.049403,41.814131,142.477766
