# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Error_(m),X_error,Y_error,Z_error,X_est,Y_est,Z_est
point 23,,,,,,,,-88.049428,41.814066,138.703439
point 24,,,,,,,,-88.049348,41.813909,138.840280
point 25,,,,,,,,-88.049461,41.813929,138.965717
point 26,,,,,,,,-88.049660,41.814115,138.754888
point 27,,,,,,,,-88.049614,41.814002,138.912930
point 28,,,,,,,,-88.049551,41.814201,138.761451
point 29,,,,,,,,-88.049287,41.814213,138.351275
point 30,,,,,,,,-88.049240,41.814100,138.316205
point 31,,,,,,,,-88.049444,41.814064,138.722480
point 32,,,,,,,,-88.049589,41.813934,139.070214
point 33,,,,,,,,-88.049696,41.814166,138.847583
point 34,,,,,,,,-88.049398,41.814280,138.664689
point 35,,,,,,,,-88.049197,41.814069,138.400124
point 36,,,,,,,,-88.049307,41.813906,138.896571
8,,,,,,,,-88.049430,41.814070,143.041550
8-1,,,,,,,,-88.049429,41.814069,143.322844
8-1-1,,,,,,,,-88.049432,41.814065,143.543937
8-1-2,,,,,,,,-88.049433,41.814060,143.456977
8-1-2-1,,,,,,,,-88.049431,41.814059,143.532255
8-1-2-2,,,,,,,,-88.049427,41.814058,143.612911
8-1-2-3,,,,,,,,-88.049430,41.814055,143.690602
8-1-2-4,,,,,,,,-88.049431,41.814053,143.668876
8-1-2-5,,,,,,,,-88.049432,41.814048,143.546072
8-1-2-6,,,,,,,,-88.049433,41.814044,143.492426
8-1-3,,,,,,,,-88.049432,41.814051,142.955290
8-1-3-1,,,,,,,,-88.049429,41.814048,142.887995
8-1-5,,,,,,,,-88.049437,41.814036,142.962571
8-1-5-2,,,,,,,,-88.049437,41.814029,142.901525
8-1-5-3,,,,,,,,-88.049438,41.814027,143.030307
8-1-5-3-1,,,,,,,,-88.049440,41.814027,142.953867
8-1-5-4,,,,,,,,-88.049437,41.814025,143.085847
8-1-5-5,,,,,,,,-88.049438,41.814024,143.249948
8-1-5-5-1,,,,,,,,-88.049438,41.814024,143.377714
8-1-5-5-2,,,,,,,,-88.049438,41.814022,143.906623
8-1-5-6,,,,,,,,-88.049440,41.814022,143.299557
8-1-5-6-1,,,,,,,,-88.049441,41.814020,143.484127
8-1-4,,,,,,,,-88.049444,41.814047,142.936000
8-1-6,,,,,,,,-88.049432,41.814029,143.601137
8-1-7,,,,,,,,-88.049430,41.814026,143.563304
8-1-8,,,,,,,,-88.049430,41.814022,143.600035
8-1-9,,,,,,,,-88.049430,41.814022,143.668448
8-2-1,,,,,,,,-88.049414,41.814074,144.214936
8-2,,,,,,,,-88.049421,41.814074,144.087820
8-2-2,,,,,,,,-88.049407,41.814075,144.168586
8-2-3,,,,,,,,-88.049394,41.814076,144.667998
8-2-4,,,,,,,,-88.049384,41.814077,144.825372
8-2-4-1,,,,,,,,-88.049385,41.814076,144.775928
8-2-4-2,,,,,,,,-88.049377,41.814074,144.886583
8-2-4-3,,,,,,,,-88.049372,41.814072,144.752290
8-2-4-3-1,,,,,,,,-88.049371,41.814069,144.549630
8-2-4-3-2,,,,,,,,-88.049370,41.814068,144.637474
8-2-4-3-3,,,,,,,,-88.049364,41.814065,144.589159
8-2-4-3-2-1,,,,,,,,-88.049369,41.814067,144.945593
8-2-4-4,,,,,,,,-88.049351,41.814071,145.914327
8-2-5,,,,,,,,-88.049382,41.814080,145.034414
8-2-5-1,,,,,,,,-88.049382,41.814082,145.481430
8-2-6,,,,,,,,-88.049378,41.814083,145.299968
8-2-7,,,,,,,,-88.049375,41.814086,145.315196
8-2-8,,,,,,,,-88.049372,41.814084,145.357087
8-2-9,,,,,,,,-88.049366,41.814087,145.533035
8-2-10,,,,,,,,-88.049359,41.814088,145.614176
8-2-10-1,,,,,,,,-88.049359,41.814089,145.794878
8-2-11,,,,,,,,-88.049351,41.814091,145.835209
8-3,,,,,,,,-88.049419,41.814067,145.102118
8-3-1,,,,,,,,-88.049418,41.814061,145.156590
8-3-2,,,,,,,,-88.049414,41.814055,145.169316
8-3-3,,,,,,,,-88.049413,41.814051,145.093441
8-3-4,,,,,,,,-88.049409,41.814047,145.377672
8-3-5,,,,,,,,-88.049408,41.814045,145.596176
8-3-6,,,,,,,,-88.049405,41.814045,145.802453
8-3-7,,,,,,,,-88.049404,41.814045,145.536562
8-3-8,,,,,,,,-88.049403,41.814045,145.683808
8-3-9,,,,,,,,-88.049400,41.814042,145.610780
8-3-10,,,,,,,,-88.049399,41.814039,145.268727
8-3-11,,,,,,,,-88.049400,41.814039,145.204189
8-4,,,,,,,,-88.049407,41.814064,146.428839
8-4-1,,,,,,,,-88.049393,41.814051,147.130763
8-4-2,,,,,,,,-88.049389,41.814049,147.352160
8-4-3,,,,,,,,-88.049385,41.814047,147.476149
8-4-4,,,,,,,,-88.049380,41.814042,147.688910
8-4-5,,,,,,,,-88.049379,41.814039,147.656696
8-4-6,,,,,,,,-88.049378,41.814039,147.475624
8-4-4-1,,,,,,,,-88.049371,41.814035,148.593522
8-4-4-2,,,,,,,,-88.049371,41.814034,148.605494
8-5,,,,,,,,-88.049405,41.814067,147.313301
8-5-1,,,,,,,,-88.049390,41.814068,149.253552
8-5-1-1,,,,,,,,-88.049389,41.814065,149.606396
8-5-2,,,,,,,,-88.049384,41.814073,150.002392
8-5-2-1,,,,,,,,-88.049379,41.814077,150.506354
8-5-3,,,,,,,,-88.049374,41.814073,150.947588
8-6,,,,,,,,-88.049395,41.814064,148.091911
8-6-1,,,,,,,,-88.049387,41.814058,148.664223
8-6-1-1,,,,,,,,-88.049378,41.814052,148.914957
8-6-2,,,,,,,,-88.049375,41.814051,150.025474
8-6-3,,,,,,,,-88.049370,41.814048,150.144377
8-6-4,,,,,,,,-88.049365,41.814046,150.952609
8-7,,,,,,,,-88.049375,41.814062,149.206208
8-7-3,,,,,,,,-88.049370,41.814063,150.013735
8-7-2,,,,,,,,-88.049371,41.814063,150.045719
8-8,,,,,,,,-88.049366,41.814062,149.151511
8--10,,,,,,,,-88.049355,41.814061,149.430056
8-4-.5,,,,,,,,-88.049396,41.814057,146.993531
8-4-.55,,,,,,,,-88.049391,41.814053,147.067069
8-1-.5,,,,,,,,-88.049427,41.814067,143.413531
8-2-.55,,,,,,,,-88.049415,41.814076,144.184066
8-2-2.5,,,,,,,,-88.049402,41.814075,144.276656
8-2-11-1,,,,,,,,-88.049350,41.814092,146.014132
8-3-.5,,,,,,,,-88.049418,41.814063,145.179968
8-3-1.0,,,,,,,,-88.049416,41.814061,145.104829
8-3-1.5,,,,,,,,-88.049416,41.814056,145.058079
8-4-.1,,,,,,,,-88.049397,41.814059,146.849391
8-4-9,,,,,,,,-88.049372,41.814028,148.082453
8-4-9-1,,,,,,,,-88.049371,41.814028,148.162583
8-5-.5,,,,,,,,-88.049396,41.814070,148.618121
8-5-2-2,,,,,,,,-88.049373,41.814088,151.550811
8-5-3-1,,,,,,,,-88.049373,41.814075,151.467062
8-6.5,,,,,,,,-88.049378,41.814064,148.816865
