node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
11,both,0.4381888515,NA,11.1,14.3,NA,7.86,28,10.1,NA,8.66,29
11.4,both,0.2668153824,end,end,6.07,101,1.51,5.73,5.68,252,2.3,2.02
11.1,both,0.424006874,11.2,end,9.82,14.5,2.69,3.41,5.92,15.9,3.5,2.55
11.3,both,0.6775383585,11.4,end,11.8,7.87,2.25,4.88,7.09,6.26,2.78,5.28
11.2,both,0.8334520997,,,,,,,,,,
point 23,both,0.9411465347,,,,,,,,,,
point 24,both,0.6262238818,,,,,,,,,,
point 25,both,0.7770208048,,,,,,,,,,
point 26,both,0.8787246414,,,,,,,,,,
point 27,both,0.4822938344,,,,,,,,,,
point 28,both,0.3696035803,,,,,,,,,,
point 29,both,0.1617503021,,,,,,,,,,
point 30,both,0.7751629552,,,,,,,,,,
point 31,both,0.1397063877,,,,,,,,,,
point 32,both,0.8537607586,,,,,,,,,,
point 33,both,0.07356710033,,,,,,,,,,
point 34,both,0.7227441157,,,,,,,,,,
point 35,both,0.8625217998,,,,,,,,,,
point 36,both,0.02194653021,,,,,,,,,,
11.5,180228,0.8418620197,end,end,5.26,18.8,3.45,4.35,,,,
NA,180228,0.6048771619,,,,,,,,,,
11.4*2,180328,0.05656333285,end,end,,,,,8.15,195,4.1,5.23
11.4*1,180328,0.3711164427,,,,,,,,,,
11.4*3,180328,0.3849123411,,,,,,,,,,
11.6,180328,,,,,,,,,,,
NA,180328,0.3706222113,,,,,,,,,,
