# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label,X/Longitude,Y/Latitude,Z/Altitude,Yaw,Pitch,Roll,Error_(m),X_error,Y_error,Z_error,Error_(deg),Yaw_error,Pitch_error,Roll_error,X_est,Y_est,Z_est,Yaw_est,Pitch_est,Roll_est
DJI_0018.JPG,-88.049679,41.814011,196.769000,,,,2.186697,0.152373,0.288017,2.162284,,,,,-88.049678,41.814014,198.931284,71.156355,89.341108,0.000000
DJI_0019.JPG,-88.049693,41.814042,196.769000,,,,2.177745,0.257475,-0.253618,2.147547,,,,,-88.049690,41.814040,198.916547,74.326895,89.263805,0.000000
DJI_0019.JPG,-88.049693,41.814042,196.769000,,,,2.177745,0.257475,-0.253618,2.147547,,,,,-88.049690,41.814040,198.916547,74.326895,89.263805,0.000000
DJI_0020.JPG,-88.049696,41.814054,196.769000,,,,2.183135,0.167482,0.336570,2.150523,,,,,-88.049694,41.814057,198.919523,80.882324,89.203701,0.000000
DJI_0020.JPG,-88.049696,41.814054,196.769000,,,,2.183135,0.167482,0.336570,2.150523,,,,,-88.049694,41.814057,198.919523,80.882324,89.203701,0.000000
DJI_0021.JPG,-88.049700,41.814072,196.669000,,,,2.249026,0.189522,0.165940,2.234875,,,,,-88.049698,41.814074,198.903875,86.625700,89.152540,0.000000
DJI_0021.JPG,-88.049700,41.814072,196.669000,,,,2.249026,0.189522,0.165940,2.234875,,,,,-88.049698,41.814074,198.903875,86.625700,89.152540,0.000000
DJI_0022.JPG,-88.049704,41.814091,196.769000,,,,2.150492,0.140517,-0.017670,2.145824,,,,,-88.049702,41.814091,198.914824,89.901617,89.113814,0.000000
DJI_0022.JPG,-88.049704,41.814091,196.769000,,,,2.150492,0.140517,-0.017670,2.145824,,,,,-88.049702,41.814091,198.914824,89.901617,89.113814,0.000000
DJI_0023.JPG,-88.049705,41.814103,196.769000,,,,2.154338,0.078866,0.219185,2.141707,,,,,-88.049704,41.814105,198.910707,93.519609,89.053697,0.000000
