node,label,random,mainnodeto,branchnodeto,maindiameter.180228,mainlength.180228,branchdiameter.180228,branchlength.180228,maindiameter.180328,mainlength.180328,branchdiameter.180328,branchlength.180328
3,both,0.892163886,NA,3.1,NA,NA,21.9,NA,NA,NA,21.2,8.83
3.1,both,0.705679886,3.2,end,NA,NA,NA,NA,20.8,33,9.4,156
3.2,both,0.429696383,end,3.2.2,17.5,257,8.87,88.9,11.1,269,9.28,95.1
3.2.2,both,,end,end,6.64,142,7.97,131,7.2,134,7.73,136
point 23,both,,,,,,,,,,,
point 24,both,,,,,,,,,,,
point 25,both,,,,,,,,,,,
point 26,both,,,,,,,,,,,
point 27,both,,,,,,,,,,,
point 28,both,,,,,,,,,,,
point 29,both,,,,,,,,,,,
point 30,both,,,,,,,,,,,
point 31,both,,,,,,,,,,,
point 32,both,,,,,,,,,,,
point 33,both,,,,,,,,,,,
point 34,both,,,,,,,,,,,
point 35,both,,,,,,,,,,,
point 36,both,,,,,,,,,,,
3.3,180222,0.502157785,3.4,end,12,25.3,4.45,26.6,,,,
3.1.5,180222,0.955866752,3.1.6,end,2.22,11.7,2,7.76,,,,
3.2.2.1,both,0.186145576,3.2.2.2,end,5.34,46.6,3.66,8.41,4.04,42.6,3.15,10.3
3.2.2.2,both,0.137406595,end,end,4.07,26.5,2.58,5.94,3.3,42.8,1.29,15.9
3.5.10,180222,0.899139337,end,3.5.10.1,7.04,11.8,0.783,1.36, ,,,
3.5.10.1,180222,0.293955151,3.5.10.2,end,1.84,12.5,2.54,1.94,,,,
3.5.10.2,180222,0.552491592,end,end,2.3,5.55,2.21,2.17,,,,
3.5.2,180222,0.948976173,3.5.3,end,13.6,10.2,6.51,17.2,,,,
3.5.3,both,0.198260283,3.5.4,end,11.9,15.8,3.04,30.4,12.7,14.3,7.46,14.6
3.5.8.3,180222,0.256207158,3.5.8.4,end,NA,NA,NA,NA,,,,
3.1.1,180222,0.980634904,,,,,,,,,,
3.5.5,180222,0.596984747,,,,,,,,,,
3.1.6,180222,0.40233361,,,,,,,,,,
3.5.8.2,180222,0.349185383,,,,,,,,,,
3.1.3,180222,0.360315222,,,,,,,,,,
3.4,180222,0.590106418,,,,,,,,,,
3.5.11,180222,0.276378759,,,,,,,,,,
3.8,180222,0.161511487,,,,,,,,,,
3.2.1,180222,0.348630809,,,,,,,,,,
3.7,180222,0.194485909,,,,,,,,,,
3.2.3,180222,0.609303959,,,,,,,,,,
3.5.8.4,180222,0.099736608,,,,,,,,,,
3.1.6.1,180222,0.025221903,,,,,,,,,,
3.5.4,180222,0.180153449,,,,,,,,,,
3.2.5,180222,0.643857405,,,,,,,,,,
3.5.7.1,180222,0.217091047,,,,,,,,,,
3.5.9,180222,0.922652858,,,,,,,,,,
3.5.7,180222,0.420392112,,,,,,,,,,
3.1.4,180222,0.149068018,,,,,,,,,,
3.5.8.1,180222,0.634421303,,,,,,,,,,
3.5.8,180222,0.346691637,,,,,,,,,,
3.9,180222,0.874128824,,,,,,,,,,
3.5.1,180222,0.429839498,,,,,,,,,,
3.5.6,180222,0.545364735,,,,,,,,,,
3.5,180222,0.10461407,,,,,,,,,,
3.6,180222,0.954385211,,,,,,,,,,
3.5.10.3,180222,0.185807187,,,,,,,,,,
3.1.2,180222,0.50792909,,,,,,,,,,
3.2.4,180222,0.501792992,,,,,,,,,,
NA,180222,0.875714171,,,,,,,,,,
3.1.*5,180323,0.367316156,end,end,,,,,5.54,139,5.93,40.6
3.2.*5,180323,0.063156371,end,end,,,,,11.8,167,7.47,8.38
NA,180323,,,,,,,,,,,
