ELM BRANCH 22,,,,,,,,,
,,,,,,,,,
,main,,,,,branch,,,
node,to node,diameter,,length,,to node,diameter,,length
22,NA,6.2,,NA,,22-1,4.3,,20.8
22-4,end,NA,,NA,,end,NA,,NA
22-2,end,2.18,,133.6,,end,1.2,,94.8
