nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
9,B,,NA,9.1,NA,NA,23.9,71.4,NA,NA,25.7,73.7
9.1,B,0.09346654399,9.2,end,20.3,134,5.21,11.4,21.6,129,6.25,0.632
9.10,B,0.3016865792,9.13,end,16.7,64.5,7.88,12.4,18.9,61.4,9.46,5.38
9.13,B,0.03414460857,9.14,end,16.9,23.5,11.6,11.6,17.4,30.3,7.79,5.37
9.14,B,0.1704516971,9.18,end,17.4,87.9,6.68,111,17.3,86.8,10.3,20.1
9.16,B,0.32939068,9.18,end,14.7,69.6,7.04,6.79,15.3,77.7,1.9,4.61
9.21,B,0.2527797201,9.22,9.21.1,12.9,76.9,10.4,26.2,14.3,81.2,15.2,25.3
9.22,B,0.2122300046,9.26,end,13.8,103,9.52,134,20.4,101,7.49,123
9.29,B,0.4101755397,end,end,11.8,8.73,10.4,35.1,8.52,30.3,10.3,8.35
9.9,B,0.2699053392,9.14,end,16,99.2,1.2,2.83,18.8,95.3,3.85,4.03
9.21.2,B,0.1153881171,9.21.3,end,7.87,14.3,3.65,1.68,9.93,13.1,4.57,2.95
9.21.3,B,0.1021211922,end,end,6.49,47.6,3.27,2.39,4.87,37.2,3.5,3.13
9.22.4,B,0.1806374095,end,end,7.28,33.7,7.38,1.84,4.1,22.5,7.2,5.63
9.18,B,0.4919820411,,,,,,,,,,
9.2,B,0.6187891899,,,,,,,,,,
9.6,B,0.6365427912,,,,,,,,,,
9.28,B,0.7828413635,,,,,,,,,,
9.21.1,B,0.8411381048,,,,,,,,,,
9.26,B,0.9253382722,,,,,,,,,,
9.3,171221,0.06070439537,9.6,end,18.9,41.3,3.28,6.36,,,,
9.4,171221,0.1853289769,9.6,end,19.1,40.6,4.09,4.55,,,,
9.5,171221,0.2027050559,9.8,end,23.7,64.6,3.62,3.65,,,,
9.8,171221,0.2183965503,9.10,end,19,20,5.84,26.4,,,,
9.11,171221,0.2855576033,9.13,end,16.3,24.3,4.23,3.83,,,,
9.15,171221,0.2926408984,9.17,end,15.5,48.3,5.02,5.35,,,,
9.14.1,171221,0.3853933864,9.14.3,end,7.23,57.2,3.7,3.91,,,,
9.14.3,171221,0.4375931453,9.14.6,end,3.81,20.1,1.86,1.88,,,,
9.14.2,171221,0.4692165666,9.14.3,end,1.77,40.3,2.68,3,,,,
9.14.5,171221,0.5859287285,,,,,,,,,,
9.14.6,171221,0.5968956839,,,,,,,,,,
9.14.7,171221,0.6416173172,,,,,,,,,,
9.14.8,171221,0.655058293,,,,,,,,,,
9.17,171221,0.6553515465,,,,,,,,,,
9.19,171221,0.7029139045,,,,,,,,,,
9.20,171221,0.7564616358,,,,,,,,,,
9.21.4,171221,0.7649951647,,,,,,,,,,
9.21.5,171221,0.7666014221,,,,,,,,,,
9.21.6,171221,0.814390503,,,,,,,,,,
9.21.7,171221,0.8231506565,,,,,,,,,,
9.22.3,171221,0.8589102665,,,,,,,,,,
9.23,171221,0.882752488,,,,,,,,,,
9.25,171221,0.9369797133,,,,,,,,,,
9.27,171221,0.9710910229,,,,,,,,,,
9.30,171221,0.9846388342,,,,,,,,,,
