nodes,presence,random,mainnodeto,branchnodeto,maindiameter.171221,mainlength.171221,branchdiameter.171221,branchlength.171221,maindiameter.180109,mainlength.180109,branchdiameter.180109,branchlength.180109
3,both,,,,,,,,,,,
3.1,both,,,,,,,,,,,
3.2,both,,,,,,,,,,,
3.2.2,both,,,,,,,,,,,
3.5.8.3,180222,,,,,,,,,,,
3.5.3,180222,,,,,,,,,,,
3.5.2,180222,,,,,,,,,,,
3.5.10.1,180222,,,,,,,,,,,
3.3,180222,,,,,,,,,,,
3.5.10.2,180222,,,,,,,,,,,
3.1.5,180222,,,,,,,,,,,
3.2.2.2,180222,,,,,,,,,,,
3.2.2.1,180222,,,,,,,,,,,
3.5.10,180222,,,,,,,,,,,
3.1.1,180222,,,,,,,,,,,
3.5.5,180222,,,,,,,,,,,
3.1.6,180222,,,,,,,,,,,
3.5.8.2,180222,,,,,,,,,,,
3.1.3,180222,,,,,,,,,,,
3.4,180222,,,,,,,,,,,
3.5.11,180222,,,,,,,,,,,
3.8,180222,,,,,,,,,,,
3.2.1,180222,,,,,,,,,,,
3.7,180222,,,,,,,,,,,
3.2.3,180222,,,,,,,,,,,
3.5.8.4,180222,,,,,,,,,,,
3.1.6.1,180222,,,,,,,,,,,
3.5.4,180222,,,,,,,,,,,
3.2.5,180222,,,,,,,,,,,
3.5.7.1,180222,,,,,,,,,,,
3.5.9,180222,,,,,,,,,,,
3.5.7,180222,,,,,,,,,,,
3.1.4,180222,,,,,,,,,,,
3.5.8.1,180222,,,,,,,,,,,
3.5.8,180222,,,,,,,,,,,
3.9,180222,,,,,,,,,,,
3.5.1,180222,,,,,,,,,,,
3.5.6,180222,,,,,,,,,,,
3.5,180222,,,,,,,,,,,
3.6,180222,,,,,,,,,,,
3.5.10.3,180222,,,,,,,,,,,
3.1.2,180222,,,,,,,,,,,
3.2.4,180222,,,,,,,,,,,
NA,180222,,,,,,,,,,,
3.1.*5,180323,,,,,,,,,,,
3.2.*5,180323,,,,,,,,,,,
NA,180323,,,,,,,,,,,
