"","node","label"
"1","10","both"
"2","10.1","both"
"3","10.1.1","both"
"4","10.1.2","both"
"5","10.1.3","both"
"6","10.1.3.1","both"
"7","10.1.3.2","both"
"8","10.1.4","both"
"9","10.1.4.2","both"
"10","10.1.9","both"
"11","10.2","both"
"12","10.2.1","both"
"13","10.2.2","both"
"14","10.2.3","both"
"15","10.3","both"
"16","10.3.*5","both"
"17","10.3.1","both"
"18","10.3.2","both"
"19","10.3.2*5","both"
"20","10.3.3","both"
"21","10.3.3.2","both"
"22","10.3.3.2.*5","both"
"23","10.3.3.2.1","both"
"24","10.3.3.2.2","both"
"25","10.3.3.2.2.*5","both"
"26","10.3.3.2.2.1","both"
"27","10.3.3.2.2.3","both"
"28","10.3.3.2.2.4","both"
"29","10.3.3.2*5","both"
"30","10.3.3.3","both"
"31","10.3.4","both"
"32","10.3.4.1","both"
"33","10.3.5","both"
"34","10.4","both"
"35","10.4.1","both"
"36","10.4.1.1","both"
"37","10.4.2","both"
"38","10.4.3","both"
"39","10.5","both"
"40","10.6","both"
"41","10.6.*5","both"
"42","point 23","both"
"43","point 24","both"
"44","point 25","both"
"45","point 26","both"
"46","point 27","both"
"47","point 28","both"
"48","point 29","both"
"49","point 30","both"
"50","point 31","both"
"51","point 32","both"
"52","point 33","both"
"53","point 34","both"
"54","point 35","both"
"55","point 36","both"
"56","10.1.3.2.2","171221"
"57","10.2.3.1","171221"
"58","10.2.4","171221"
"59","10.2.5","171221"
"60","10.2.6","171221"
"61","10.2.7","171221"
"62","10.2.7.1","171221"
"63","10.3.4.*5","171221"
"64","10.3.4*5","171221"
"65","10.3.3.4","171221"
"66","10.4*5","171221"
"67","10.5.1","171221"
"68","0.1.18","171221"
"69","10.4*1","171221"
"70",NA,"171221"
"71","10.1.3.1.2","180109"
"72","10.1.2.1","180109"
"73","10.1.3.2.1","180109"
"74","10.1.4.1","180109"
"75","10.1.5","180109"
"76","10.1.6","180109"
"77","10.1.7","180109"
"78","10.1.8","180109"
"79","10.1.10","180109"
"80","10.3.3.1","180109"
"81","10.3.3.2.3","180109"
"82","10.3.3.2.2.2","180109"
"83","10.6.1","180109"
"84","10.6.2","180109"
"85","10.6.3","180109"
"86",NA,"180109"
