"","node","label"
"1","1","both"
"2","1.1","both"
"3","1.1.1","both"
"4","1.1.2","both"
"5","1.1.3","both"
"6","1.11","both"
"7","1.12","both"
"8","1.12.1","both"
"9","1.13","both"
"10","1.14","both"
"11","1.15","both"
"12","1.16","both"
"13","1.16*1","both"
"14","1.17","both"
"15","1.2","both"
"16","1.3","both"
"17","1.4","both"
"18","1.5","both"
"19","1.6","both"
"20","1.6.1","both"
"21","1.7","both"
"22","1.7.1","both"
"23","1.7.1.1","both"
"24","1.7.2","both"
"25","1.7.3","both"
"26","1.7.4","both"
"27","1.7.4*1","both"
"28","1.7.5","both"
"29","1.8","both"
"30","1.9","both"
"31","point 23","both"
"32","point 24","both"
"33","point 25","both"
"34","point 26","both"
"35","point 27","both"
"36","point 28","both"
"37","point 29","both"
"38","point 30","both"
"39","point 31","both"
"40","point 32","both"
"41","point 33","both"
"42","point 34","both"
"43","point 35","both"
"44","point 36","both"
"45","1.10","180228"
"46",NA,"180228"
"47","1.1.1*1","180328"
"48","1.4.1","180328"
"49","1.5.1","180328"
"50","1.7.6","180328"
"51","1.7.5*1","180328"
"52","1.7.7","180328"
"53","1.9.1","180328"
"54","1.9.2","180328"
"55","1.9.2.1","180328"
"56","1.9.3","180328"
"57","1.9.4","180328"
"58","1.9.5","180328"
"59","1.10*1","180328"
"60","1.10*2","180328"
"61","1.10*3","180328"
"62","1.10*1.1","180328"
"63","1.11.1","180328"
"64","1.12.*1","180328"
"65","1.12.2","180328"
"66","1.12.3","180328"
"67","1.12*1","180328"
"68","1.17.1","180328"
"69","1.17.2","180328"
"70","1.14*1","180328"
"71","1.14.1","180328"
"72","1.14.2","180328"
"73","1.14.3","180328"
"74","1.14.4","180328"
"75","1.14.5","180328"
"76","1.14.6","180328"
"77","1.14.7","180328"
"78","1.16.1","180328"
"79",NA,"180328"
