"","X.Label","X_est.x","Y_est.x","Z_est.x","reflat.x","reflong.x","rlat.x","m.lat.x","m.long.x","meterslat.x","meterslong.x","metersalt.x","ground.alt.x","vert.dist.x","center.dist.x","hor.dist.x","meterslat.or.x","meterslong.or.x","theta.x","thetadeg.x","X_est.y","Y_est.y","Z_est.y","reflat.y","reflong.y","rlat.y","m.lat.y","m.long.y","meterslat.y","meterslong.y","metersalt.y","ground.alt.y","vert.dist.y","center.dist.y","hor.dist.y","meterslat.or.y","meterslong.or.y","theta.y","thetadeg.y","is.in","avg.hor.dist","diff.hor.dist","avg.vert.dist","diff.vert.dist","avg.center.dist","diff.center.dist","avg.theta","diff.theta"
"1","1",-88.083791,41.821279,251.969196,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645080.44912277,-7318200.20334404,251.969196,247.365880556507,4.60331544349324,4.61291531172739,0.297446803421402,-0.285608016885817,0.0830822577700019,0.283083806444396,16.2195073577622,-88.083829,41.821295,198.186778,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645082.23754189,-7318201.77455638,198.186778,193.43692491819,4.74985308181044,4.78953320640679,0.615243071061449,-0.0555348917841911,0.612731517292559,0.43736213345838,25.0590043660026,"both",0.456344937241426,-0.317796267640047,4.67658426265184,-0.146537638317199,4.70122425906709,-0.176617894679397,20.6392558618824,-8.83949700824044
"2","1--10",-88.083806,41.821302,254.668808,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645083.00372782,-7318201.44957791,254.668808,247.365880556507,7.30292744349325,7.73524520712224,2.54975864924128,2.26899702847004,-1.16315160412341,3.61529161950967,207.14095150692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"3","1-1",-88.083791,41.821282,252.247185,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645080.78233213,-7318200.20334404,252.247185,247.365880556507,4.88130444349324,4.8822435026195,0.0957525394103649,0.0476013366132975,0.0830822577700019,2.09108278602332,119.810218251594,-88.083829,41.821298,198.454395,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645082.57075124,-7318201.77455638,198.454395,193.43692491819,5.01747008181044,5.0623659529268,0.67271317772846,0.277674462646246,0.612731517292559,0.953241048335668,54.6166889282599,"both",0.384232858569413,-0.576960638318095,4.94938726265184,-0.136165638317209,4.97230472777315,-0.180122450307295,87.213453589927,65.1935293233342
"4","1-1-1",-88.083786,41.821283,252.143241,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645080.89340191,-7318199.78793276,252.143241,247.365880556507,4.77736044349322,4.80591772150687,0.523137017271786,0.158671121113002,0.498493544757366,1.87895756115124,107.656338138161,-88.083823,41.8213,198.30192,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645082.79289081,-7318201.27606294,198.30192,193.43692491819,4.86499508181043,5.01525793071798,1.21845597605734,0.499814032576978,1.11122495401651,0.950426524722729,54.4554286038986,"both",0.870796496664564,-0.695318958785555,4.82117776265183,-0.087634638317212,4.91058782611242,-0.209340209211107,81.0558833710296,53.200909534262
"5","1-1-1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.083818,41.821303,198.207641,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645083.12610017,-7318200.86065174,198.207641,193.43692491819,4.77071608181043,5.07782215481289,1.73912216438751,0.833023387007415,1.5266361515969,1.02725472224358,58.8573600694405,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"6","1-1-2",-88.083777,41.821289,252.257134,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645081.55982062,-7318199.04019244,252.257134,247.365880556507,4.89125344349324,5.11451193324691,1.49461435388549,0.825089829042554,1.24623386282474,2.15560751094649,123.507212663934,-88.083816,41.821306,198.260138,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645083.45930952,-7318200.69448727,198.260138,193.43692491819,4.82321308181045,5.24300078316653,2.05564412769753,1.16623274143785,1.692800629884,1.13101250313891,64.8022430063865,"both",1.77512924079151,-0.561029773812039,4.85723326265185,0.0680403616827903,5.17875635820672,-0.128488849919617,94.1547278351605,58.704969657548
"7","1-1-3",-88.083772,41.821292,252.305787,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645081.89302997,-7318198.62478115,252.305787,247.365880556507,4.93990644349324,5.33904460279523,2.02551761290066,1.15829918254167,1.6616451498121,2.17955970059067,124.879572040643,-88.083812,41.82131,198.268335,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645083.90358866,-7318200.36215831,198.268335,193.43692491819,4.83141008181045,5.48064063271062,2.58745016692091,1.61051188036799,2.02512958832085,1.19959634582628,68.7318077351617,"both",2.30648388991078,-0.561932554020249,4.88565826265184,0.108496361682796,5.40984261775292,-0.141596029915393,96.8056898879022,56.1477643054811
"8","1-10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.083846,41.821316,200.941511,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645084.57000737,-7318203.18695445,200.941511,193.43692491819,7.50458608181043,7.88306360299558,2.41327153664291,2.27693059016019,-0.799666553735733,2.43629324563824,139.5893206313,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"9","1-10.1-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.083853,41.821314,200.919728,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645084.3478678,-7318203.76853013,200.919728,193.43692491819,7.48280308181043,7.8817725289036,2.47588292054121,2.05479102022946,-1.38124223053455,2.69037396912245,154.147073742576,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"10","1-10.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.083845,41.821317,201.104278,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645084.68107715,-7318203.10387221,201.104278,193.43692491819,7.66735308181043,8.06252703254031,2.49319852183803,2.3880003746599,-0.716584314592183,2.39007400955904,136.941153471644,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"11","1-10.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.083844,41.821318,201.133529,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645084.79214694,-7318203.02078997,201.133529,193.43692491819,7.69660408181045,8.11692003977746,2.57811491985903,2.4990701591596,-0.633502075448632,2.34681191662311,134.462418133512,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"12","1-11",-88.083808,41.821305,255.008,41.8212815714286,-88.083792,0.729919060825056,111069.784573608,83082.2574762256,4645083.33693717,-7318201.61574242,255.008,247.365880556507,7.64211944349324,8.18172041742906,2.92208134732043,2.60220638196915,-1.32931611966342,3.61387613586311,207.059850268003,-88.083846,41.821321,201.343953,41.8212955,-88.083836375,0.729919303924488,111069.784843867,83082.2394716331,4645085.12535629,-7318203.18695445,201.343953,193.43692491819,7.90702808181044,8.43696431939855,2.94300422022555,2.83227951359004,-0.799666553735733,2.37372395969295,136.004364619488,"both",2.93254278377299,-0.0209228729051181,7.77457376265184,-0.264908638317195,8.3093423684138,-0.255243901969497,171.532107443746,71.0554856485145
