"","node","label"
"1","8","both"
"2","8.1","both"
"3","8.1.*5","both"
"4","8.1.1","both"
"5","8.1.2","both"
"6","8.1.2.1","both"
"7","8.1.2.2","both"
"8","8.1.2.3","both"
"9","8.1.2.4","both"
"10","8.1.3","both"
"11","8.1.3.1","both"
"12","8.1.4","both"
"13","8.1.5","both"
"14","8.1.5.2","both"
"15","8.1.5.3","both"
"16","8.1.5.4","both"
"17","8.1.5.5","both"
"18","8.1.5.6","both"
"19","8.1.6","both"
"20","8.10","both"
"21","8.2","both"
"22","8.2.*55","both"
"23","8.2.1","both"
"24","8.2.10","both"
"25","8.2.11","both"
"26","8.2.11.1","both"
"27","8.2.2","both"
"28","8.2.2*5","both"
"29","8.2.3","both"
"30","8.2.4","both"
"31","8.2.4.1","both"
"32","8.2.4.2","both"
"33","8.2.4.3","both"
"34","8.2.4.3.1","both"
"35","8.2.4.3.2","both"
"36","8.2.4.3.3","both"
"37","8.2.4.4","both"
"38","8.2.5","both"
"39","8.2.5.1","both"
"40","8.2.7","both"
"41","8.2.9","both"
"42","8.3","both"
"43","8.3.*5","both"
"44","8.3.1","both"
"45","8.3.1*0","both"
"46","8.3.1*5","both"
"47","8.3.10","both"
"48","8.3.2","both"
"49","8.3.3","both"
"50","8.3.4","both"
"51","8.3.5","both"
"52","8.3.6","both"
"53","8.3.7","both"
"54","8.3.8","both"
"55","8.4","both"
"56","8.4.*1","both"
"57","8.4.*5","both"
"58","8.4.*55","both"
"59","8.4.1","both"
"60","8.4.2","both"
"61","8.4.3","both"
"62","8.4.4","both"
"63","8.4.4.2","both"
"64","8.4.5","both"
"65","8.4.9","both"
"66","8.4.9.1","both"
"67","8.5","both"
"68","8.5.*5","both"
"69","8.5.1","both"
"70","8.5.1.1","both"
"71","8.5.2","both"
"72","8.5.2.1","both"
"73","8.5.2.2","both"
"74","8.5.3","both"
"75","8.5.3.1","both"
"76","8.6","both"
"77","8.6.1","both"
"78","8.6.1.1","both"
"79","8.6.2","both"
"80","8.6.3","both"
"81","8.6.4","both"
"82","8.6*5","both"
"83","8.6*5","both"
"84","8.7","both"
"85","8.7.2","both"
"86","8.7.3","both"
"87","point 23","both"
"88","point 24","both"
"89","point 25","both"
"90","point 26","both"
"91","point 27","both"
"92","point 28","both"
"93","point 29","both"
"94","point 30","both"
"95","point 31","both"
"96","point 32","both"
"97","point 33","both"
"98","point 34","both"
"99","point 35","both"
"100","point 36","both"
"101","8.2.*5","171221"
"102","8.2.4.3*5","171221"
"103","8.2.4.3.*5","171221"
"104","8.2.4.3.4","171221"
"105","8.2.4.3.5","171221"
"106","8.2.4.3*55","171221"
"107","8.2.11.2","171221"
"108","8.2.11.3","171221"
"109","8.3.2*5","171221"
"110","8.3.12","171221"
"111","8.3.13","171221"
"112","8.3.14","171221"
"113","8.3.10.1","171221"
"114","8.3.10.2","171221"
"115","8.4.*0","171221"
"116","8.4.*2","171221"
"117","8.4.*3","171221"
"118","8.4.*1.1","171221"
"119","8.4.1*5","171221"
"120","8.4.2.1","171221"
"121","8.4.2.2","171221"
"122","8.4.3*5","171221"
"123","8.4.7","171221"
"124","8.4.8","171221"
"125","8.4.10","171221"
"126","8.5.*55","171221"
"127","8.5.1*5","171221"
"128","8.5.2.*5","171221"
"129","8.6*55","171221"
"130","8.7*5","171221"
"131","8.8*5","171221"
"132","8.11","171221"
"133","8.12","171221"
"134","8.5.2.*1","171221"
"135","8.5.*1","171221"
"136",NA,"171221"
"137","8.1.2.5","180109"
"138","8.1.2.6","180109"
"139","8.1.5.3.1","180109"
"140","8.1.5.5.1","180109"
"141","8.1.5.5.2","180109"
"142","8.1.5.6.1","180109"
"143","8.1.7","180109"
"144","8.1.8","180109"
"145","8.1.9","180109"
"146","8.2.4.3.2.1","180109"
"147","8.2.6","180109"
"148","8.2.8","180109"
"149","8.2.10.1","180109"
"150","8.3.9","180109"
"151","8.3.11","180109"
"152","8.4.6","180109"
"153","8.4.4.1","180109"
"154","8.8","180109"
"155",NA,"180109"
