"","X.Label","X_est.x","Y_est.x","Z_est.x","reflat.x","reflong.x","rlat.x","m.lat.x","m.long.x","meterslat.x","meterslong.x","metersalt.x","ground.alt.x","vert.dist.x","center.dist.x","hor.dist.x","meterslat.or.x","meterslong.or.x","theta.x","thetadeg.x","X_est.y","Y_est.y","Z_est.y","reflat.y","reflong.y","rlat.y","m.lat.y","m.long.y","meterslat.y","meterslong.y","metersalt.y","ground.alt.y","vert.dist.y","center.dist.y","hor.dist.y","meterslat.or.y","meterslong.or.y","theta.y","thetadeg.y","is.in","avg.hor.dist","diff.hor.dist","avg.vert.dist","diff.vert.dist","avg.center.dist","diff.center.dist","avg.theta","diff.theta"
"1","0-1-18",-88.049447,41.814022,201.350017,41.8140725,-88.0494355,0.729793238792617,111069.644696816,83091.5755292568,4644268.56688485,-7316167.27570979,201.350017,193.776591429278,7.57342557072195,9.47264107712222,5.6898290045236,-5.60901705641299,-0.955553118139505,-1.05899404767332,-60.6758894611574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"171221",NA,NA,NA,NA,NA,NA,NA,NA
"2","1",-88.049434,41.814078,195.860314,41.8140725,-88.0494355,0.729793238792617,111069.644696816,83091.5755292568,4644274.78678495,-7316166.19551931,195.860314,193.776591429278,2.08372257072193,2.17499708530095,0.623468178283075,0.610883046872914,0.124637363478541,2.05007299514388,117.460530315488,-88.049435,41.814085,140.787468,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644275.56837405,-7316165.7032895,140.787468,138.76051818995,2.02694981004967,2.19541027267276,0.843386467105486,0.826851799152792,0.166183137334883,2.04742716231681,117.3089352612,"both",0.733427322694281,-0.21991828882241,2.0553361903858,0.0567727606722599,2.18520367898685,-0.020413187371807,117.384732788344,0.151595054287881
"3","1-1",-88.049432,41.814082,196.198046,41.8140725,-88.0494355,0.729793238792617,111069.644696816,83091.5755292568,4644275.23106353,-7316166.02933616,196.198046,193.776591429278,2.42145457072195,2.65732663876152,1.09450565416602,1.05516162514687,0.290820514783263,1.98239902939078,113.583097694923,-88.049433,41.814088,141.140167,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644275.90158298,-7316165.53710636,141.140167,138.76051818995,2.37964881004967,2.66813356234036,1.20673453887599,1.16006073355675,0.332366276532412,1.96673472039814,112.685598900656,"both",1.150620096521,-0.112228884709971,2.40055169038581,0.0418057606722755,2.66273010055094,-0.0108069235788419,113.134348297789,0.897498794267079
"4","1-10",-88.049399,41.814137,197.559298,41.8140725,-88.0494355,0.729793238792617,111069.644696816,83091.5755292568,4644281.33989399,-7316163.28731416,197.559298,193.776591429278,3.78270657072196,8.6504211032574,7.77951902520316,7.16399208456278,3.03284250758588,1.85087051640351,106.04706901512,-88.0494,41.814142,142.526515,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644281.8993438,-7316162.79508459,142.526515,138.76051818995,3.76599681004967,8.65268763170059,7.79013936194213,7.15782155282795,3.07438805233687,1.84007947889367,105.428788109239,"both",7.78482919357264,-0.0106203367389641,3.77435169038581,0.0167097606722848,8.651554367479,-0.00226652844318664,105.73792856218,0.618280905881022
"5","1-10-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.049397,41.814145,142.709593,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644282.23255274,-7316162.54580988,142.709593,138.76051818995,3.94907481004969,9.09711293600433,8.195259112136,7.49103048816323,3.32366275973618,1.82817719297092,104.746837359308,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"6","1-10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.049399,41.814148,142.434317,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644282.56576167,-7316162.71199302,142.434317,138.76051818995,3.67379881004968,9.20245607456272,8.43732185634363,7.82423942256719,3.1574796224013,1.86220388645774,106.696423286888,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"7","1-11",-88.049399,41.814146,197.410795,41.8140725,-88.0494355,0.729793238792617,111069.644696816,83091.5755292568,4644282.33952079,-7316163.28731416,197.410795,193.776591429278,3.63420357072195,9.43664360796184,8.70877758300434,8.163618885912,3.03284250758588,1.89563389419472,108.611821639306,-88.0494,41.814152,142.370476,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644283.01004025,-7316162.79508459,142.370476,138.76051818995,3.60995781004968,9.53163402659399,8.82157876043657,8.26851800084114,3.07438805233687,1.88978920835333,108.276945808015,"both",8.76517817172046,-0.112801177432232,3.62208069038581,0.0242457606722724,9.48413881727792,-0.0949904186321451,108.444383723661,0.334875831291214
"8","1-11-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.049399,41.814154,142.19172,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644283.23217954,-7316162.71199302,142.19172,138.76051818995,3.43120181004969,9.68679950504468,9.05874929499904,8.49065729044378,3.1574796224013,1.88973788013298,108.274004917619,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"9","1-11-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.049399,41.814155,142.045404,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644283.34324918,-7316162.71199302,142.045404,138.76051818995,3.28488581004967,9.73395390473297,9.16293532850693,8.6017269352451,3.1574796224013,1.89396295461799,108.516083853738,"180109",NA,NA,NA,NA,NA,NA,NA,NA
"10","1-11-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-88.049397,41.814156,142.106285,41.8140775555556,-88.049437,0.729793327028707,111069.644794907,83091.5689951844,4644283.45431883,-7316162.54580988,142.106285,138.76051818995,3.3457668100497,9.90725562065276,9.32521090301585,8.71279658004642,3.32366275973618,1.88133759305001,107.792703921066,"180109",NA,NA,NA,NA,NA,NA,NA,NA
