"","node","label"
"1","15","both"
"2","point 23","both"
"3","point 24","both"
"4","point 25","both"
"5","point 26","both"
"6","point 27","both"
"7","point 28","both"
"8","point 29","both"
"9","point 30","both"
"10","point 31","both"
"11","point 32","both"
"12","point 33","both"
"13","point 34","both"
"14","point 35","both"
"15","point 36","both"
"16","15.1","180222"
"17","15.2","180222"
"18","15.3","180222"
"19","15.4","180222"
"20","15.5","180222"
"21","15.6","180222"
"22","15.7","180222"
"23","15.7.1","180222"
"24","15.8","180222"
"25","15.8.1","180222"
"26","15.8.2","180222"
"27","15.9","180222"
"28","15.10","180222"
"29","15.11","180222"
"30",NA,"180222"
"31","none","180323"
