"","node","label"
"1","5","both"
"2","5.1","both"
"3","5.10","both"
"4","5.10.1","both"
"5","5.11","both"
"6","5.11.1","both"
"7","5.11.10","both"
"8","5.11.10*5","both"
"9","5.11.11","both"
"10","5.11.2","both"
"11","5.11.3","both"
"12","5.11.3.1","both"
"13","5.11.3.1.1","both"
"14","5.11.3.1.2","both"
"15","5.11.3.1.3","both"
"16","5.11.3.2","both"
"17","5.11.3.2.1","both"
"18","5.11.3.3","both"
"19","5.11.3.4","both"
"20","5.11.4","both"
"21","5.11.4.1","both"
"22","5.11.4.4","both"
"23","5.11.4.5","both"
"24","5.11.4.6","both"
"25","5.11.5","both"
"26","5.11.5.3","both"
"27","5.11.5.4","both"
"28","5.11.5.7","both"
"29","5.11.5.8","both"
"30","5.11.5.9","both"
"31","5.11.6","both"
"32","5.11.7","both"
"33","5.11.8","both"
"34","5.11.9","both"
"35","5.12","both"
"36","5.13","both"
"37","5.14","both"
"38","5.15","both"
"39","5.15.2","both"
"40","5.15.3","both"
"41","5.15.4","both"
"42","5.15.5","both"
"43","5.15.5.1","both"
"44","5.16","both"
"45","5.16.2","both"
"46","5.16.3","both"
"47","5.16.4","both"
"48","5.17","both"
"49","5.17.1","both"
"50","5.17.1.1","both"
"51","5.17.1.2","both"
"52","5.17.2","both"
"53","5.17.3","both"
"54","5.17.4","both"
"55","5.17.5","both"
"56","5.18","both"
"57","5.18.1","both"
"58","5.19","both"
"59","5.2","both"
"60","5.20","both"
"61","5.4","both"
"62","5.6","both"
"63","5.7","both"
"64","5.7.1","both"
"65","5.7.2","both"
"66","5.7.5","both"
"67","5.7.5.1*5","both"
"68","5.7.7","both"
"69","5.8","both"
"70","5.9","both"
"71","point 23","both"
"72","point 24","both"
"73","point 25","both"
"74","point 26","both"
"75","point 27","both"
"76","point 28","both"
"77","point 29","both"
"78","point 30","both"
"79","point 31","both"
"80","point 32","both"
"81","point 33","both"
"82","point 34","both"
"83","point 35","both"
"84","point 36","both"
"85","5.8.1","171221"
"86","5.10.1.2","171221"
"87","5.11.2*5","171221"
"88","5.15.5.1.1","171221"
"89","5.15.5.2","171221"
"90","5.16.1","171221"
"91","5.16.5","171221"
"92","5.18.*5","171221"
"93","5.17*5","171221"
"94","5.19.1","171221"
"95","5.19.2","171221"
"96","5.17.*5","171221"
"97","5.11.10*55","171221"
"98","5.11.12","171221"
"99","5.11.6*5","171221"
"100","5.11.8*5","171221"
"101",NA,"171221"
"102","5.3","180109"
"103","5.5","180109"
"104","5.6.1","180109"
"105","5.7.3","180109"
"106","5.7.4","180109"
"107","5.7.5.1","180109"
"108","5.7.5.2","180109"
"109","5.7.5.3","180109"
"110","5.7.5.4","180109"
"111","5.7.6","180109"
"112","5.7.8","180109"
"113","5.7.9","180109"
"114","5.7.10","180109"
"115","5.7.9.1","180109"
"116","5.10.2","180109"
"117","5.10.3","180109"
"118","5.10.4","180109"
"119","5.10.5","180109"
"120","5.11.3.1.4","180109"
"121","5.11.4.2","180109"
"122","5.11.4.3","180109"
"123","5.11.5.1","180109"
"124","5.11.5.2","180109"
"125","5.11.5.5","180109"
"126","5.11.5.4.1","180109"
"127","5.11.5.6","180109"
"128","5.15.1","180109"
"129","5.17.6","180109"
"130","5.17.7","180109"
"131","5.17.7.1","180109"
"132",NA,"180109"
