"","node","label"
"1","6","both"
"2","6.1","both"
"3","6.10","both"
"4","6.11","both"
"5","6.2","both"
"6","6.2.1","both"
"7","6.2.1.1","both"
"8","6.2.10","both"
"9","6.2.2","both"
"10","6.2.2.1","both"
"11","6.2.2.2","both"
"12","6.2.2.2.2","both"
"13","6.2.3","both"
"14","6.2.4","both"
"15","6.2.5","both"
"16","6.2.6","both"
"17","6.2.7","both"
"18","6.2.9","both"
"19","6.3","both"
"20","6.3.1","both"
"21","6.4","both"
"22","6.4.*1","both"
"23","6.4.2","both"
"24","6.4.5","both"
"25","6.4.6","both"
"26","6.4.7","both"
"27","6.4.8","both"
"28","6.5","both"
"29","6.6","both"
"30","6.8","both"
"31","6.8.1","both"
"32","6.9","both"
"33","point 23","both"
"34","point 24","both"
"35","point 25","both"
"36","point 26","both"
"37","point 27","both"
"38","point 28","both"
"39","point 29","both"
"40","point 30","both"
"41","point 31","both"
"42","point 32","both"
"43","point 33","both"
"44","point 34","both"
"45","point 35","both"
"46","point 36","both"
"47","6.2.1.2","180228"
"48","6.2.2.2.1","180228"
"49","6.2.8","180228"
"50","6.3.1.1","180228"
"51","6.4.1","180228"
"52","6.4.3","180228"
"53","6.4.4","180228"
"54","6.7","180228"
"55","6.10.1","180228"
"56","6.10.2","180228"
"57","6.10.3","180228"
"58","6.10.4","180228"
"59","6.10.5","180228"
"60",NA,"180228"
"61","6.2.*1","180328"
"62","point 37","180328"
"63","6.2.1.*1","180328"
"64","6.2.1.3","180328"
"65","6.2.1.4.1","180328"
"66","6.2.1.4.2","180328"
"67","6.2.1.4","180328"
"68","6.2.1.6","180328"
"69","6.2.1.5","180328"
"70","6.2.1.7","180328"
"71","6.2.1.7.1","180328"
"72","6.2.1.7.2","180328"
"73","6.2.1.8","180328"
"74","6.2.2.2.2.1","180328"
"75","6.2.2.2.3","180328"
"76","6.2.2.2.4","180328"
"77","6.2.2.3","180328"
"78","6.2.2.4","180328"
"79","6.2.7.1","180328"
"80","6.2.9.1","180328"
"81","6.2.9.2","180328"
"82","6.2.9*1","180328"
"83","6.2.11","180328"
"84","6.2.12","180328"
"85","6.2.11.1","180328"
"86","6.2.10.1","180328"
"87","6.2.10.2","180328"
"88","6.2.13","180328"
"89","6.2.14","180328"
"90","6.2.11.2","180328"
"91","6.3.1.0","180328"
"92","6.3.1.2","180328"
"93","6.3.1.3","180328"
"94","6.3.1.4","180328"
"95","6.3.2","180328"
"96","6.3.2.1","180328"
"97","6.3.2.2","180328"
"98","6.3.3","180328"
"99","6.3.4","180328"
"100","6.3.5","180328"
"101","6.3.6","180328"
"102","6.3.7","180328"
"103","6.3.8","180328"
"104","6.3.9","180328"
"105","6.3.9.1","180328"
"106","6.3.9.2","180328"
"107","6.4.6*1","180328"
"108","6.4.6*1.1","180328"
"109","6.4.7*1","180328"
"110","6.4.7*3","180328"
"111","6.4.7*2","180328"
"112","6.4.8.1","180328"
"113","6.4.8.2","180328"
"114","6.4.8.2.1","180328"
"115","6.4.8.3","180328"
"116","6.4.8.4","180328"
"117","6.4.8.5","180328"
"118","6.4.9","180328"
"119","6.4.10","180328"
"120","6.4.11","180328"
"121","6.4.11.1","180328"
"122","6.4.12","180328"
"123","6.4.13","180328"
"124","6.4.14","180328"
"125","6.4.14.1","180328"
"126","6.4.14.1.1","180328"
"127","6.4.14.1.1.1","180328"
"128","6.4.15","180328"
"129","6.4.15.1","180328"
"130","6.4.16","180328"
"131","6.5.1","180328"
"132","6.5.2","180328"
"133","6.5*1","180328"
"134","6.5*2","180328"
"135","6.9*1","180328"
"136","6.11.1","180328"
"137","6.11.1.1","180328"
"138","6.11.1.2","180328"
"139","6.11.1.3","180328"
"140","6.11.2","180328"
"141","6.11.3","180328"
"142","6.11.4","180328"
"143","6.11.5","180328"
"144",NA,"180328"
