"","node","label"
"1","11","both"
"2","11.1","both"
"3","11.2","both"
"4","11.3","both"
"5","11.4","both"
"6","11.6","both"
"7","point 23","both"
"8","point 24","both"
"9","point 25","both"
"10","point 26","both"
"11","point 27","both"
"12","point 28","both"
"13","point 29","both"
"14","point 30","both"
"15","point 31","both"
"16","point 32","both"
"17","point 33","both"
"18","point 34","both"
"19","point 35","both"
"20","point 36","both"
"21","11.5","180228"
"22",NA,"180228"
"23","11.4*1","180328"
"24","11.4*1.1","180328"
"25","11.4*1.1.1","180328"
"26","11.4*2","180328"
"27","11.4*3","180328"
"28",NA,"180328"
