"","node","label"
"1","14","both"
"2","point 23","both"
"3","point 24","both"
"4","point 25","both"
"5","point 26","both"
"6","point 27","both"
"7","point 28","both"
"8","point 29","both"
"9","point 30","both"
"10","point 31","both"
"11","point 32","both"
"12","point 33","both"
"13","point 34","both"
"14","point 35","both"
"15","point 36","both"
"16","14.1","180222"
"17","14.2","180222"
"18","14.3","180222"
"19","14.4","180222"
"20","14.5","180222"
"21","14.5.1","180222"
"22","14.5.2","180222"
"23","14.6","180222"
"24","14.7","180222"
"25","14.8","180222"
"26","14.9","180222"
"27",NA,"180222"
"28","none","180323"
