"","node","label"
"1","12","both"
"2","12.1","both"
"3","12.1.1","both"
"4","12.1.2","both"
"5","12.4","both"
"6","12.5","both"
"7","point 23","both"
"8","point 24","both"
"9","point 25","both"
"10","point 26","both"
"11","point 27","both"
"12","point 28","both"
"13","point 29","both"
"14","point 30","both"
"15","point 31","both"
"16","point 32","both"
"17","point 33","both"
"18","point 34","both"
"19","point 35","both"
"20","point 36","both"
"21","12.2","180228"
"22","12.2.1","180228"
"23","12.3","180228"
"24","12.5.1","180228"
"25","12.5.2","180228"
"26","12.5.3","180228"
"27","12.5.4","180228"
"28","12.5.4.1","180228"
"29",NA,"180228"
"30","12.6","180328"
"31","12.7","180328"
"32",NA,"180328"
