"","node","label"
"1","10","both"
"2","10.2","both"
"3","10.3","both"
"4","10.5","both"
"5","point 23","both"
"6","point 24","both"
"7","point 25","both"
"8","point 26","both"
"9","point 27","both"
"10","point 28","both"
"11","point 29","both"
"12","point 30","both"
"13","point 31","both"
"14","point 32","both"
"15","point 33","both"
"16","point 34","both"
"17","point 35","both"
"18","point 36","both"
"19","10.1","180222"
"20","10.2.1","180222"
"21","10.2.2","180222"
"22","10.3.1","180222"
"23","10.3.2","180222"
"24","10.3.3","180222"
"25","10.3.2.1","180222"
"26","10.3.3.1","180222"
"27","10.3.4","180222"
"28","10.3.5","180222"
"29","10.3.6","180222"
"30","10.3.7","180222"
"31","10.3.8","180222"
"32","10.3.9","180222"
"33","10.3.10","180222"
"34","10.3.6.1","180222"
"35","10.4","180222"
"36","10.6","180222"
"37","10.6.1","180222"
"38","10.6.2","180222"
"39","10.7","180222"
"40","10.8","180222"
"41","10.8.1","180222"
"42","10.8.2","180222"
"43","10.9","180222"
"44","10.9.1","180222"
"45","10.10","180222"
"46","10.11","180222"
"47","10.10.1","180222"
"48","10.10.2","180222"
"49","10.10.3","180222"
"50",NA,"180222"
"51","none","180323"
