"","node","label"
"1","13","both"
"2","13.*5","both"
"3","13.1","both"
"4","13.1.1","both"
"5","13.2","both"
"6","13.4","both"
"7","13.5","both"
"8","13.6","both"
"9","13.8","both"
"10","13.8.1","both"
"11","13.9","both"
"12","point 23","both"
"13","point 24","both"
"14","point 25","both"
"15","point 26","both"
"16","point 27","both"
"17","point 28","both"
"18","point 29","both"
"19","point 30","both"
"20","point 31","both"
"21","point 32","both"
"22","point 33","both"
"23","point 34","both"
"24","point 35","both"
"25","point 36","both"
"26","13.1.2","171221"
"27","13.3","171221"
"28","13.7","171221"
"29","13.4.1","171221"
"30",NA,"171221"
"31","none","180109"
